,straight,right,left
2017-05-25 19:45:00,0.33233228,0.17957811,0.48808968
2017-05-25 19:50:00,0.23414995,0.20754929,0.55830073
2017-05-25 19:55:00,0.25612727,0.20295453,0.5409182
2017-05-25 20:00:00,0.2862318,0.19261639,0.5211518
2017-05-25 20:05:00,0.25131974,0.20303723,0.545643
2017-05-25 20:10:00,0.25091794,0.22536685,0.52371526
2017-05-25 20:15:00,0.25003162,0.2247124,0.525256
2017-05-25 20:20:00,0.25342458,0.21295498,0.5336205
2017-05-25 20:25:00,0.24727505,0.21884428,0.5338807
2017-05-25 20:30:00,0.31541356,0.18888329,0.49570316
2017-05-25 20:35:00,0.2942716,0.19114769,0.5145807
2017-05-25 20:40:00,0.30154815,0.23196813,0.46648374
2017-05-25 20:45:00,0.2641716,0.32973725,0.40609115
2017-05-25 20:50:00,0.23636739,0.3793522,0.3842804
2017-05-25 20:55:00,0.23880439,0.38316938,0.37802622
2017-05-25 21:00:00,0.19837625,0.4099707,0.39165303
2017-05-25 21:05:00,0.32060692,0.2906823,0.38871074
2017-05-25 21:10:00,0.29422268,0.30269927,0.40307805
2017-05-25 21:15:00,0.26483458,0.3488846,0.38628086
2017-05-25 21:20:00,0.3044458,0.32681203,0.36874214
2017-05-25 21:25:00,0.3309467,0.29843387,0.3706194
2017-05-25 21:30:00,0.3213058,0.34829962,0.3303946
2017-05-25 21:35:00,0.27977225,0.32581022,0.39441746
2017-05-25 21:40:00,0.3430335,0.32010034,0.3368662
2017-05-25 21:45:00,0.3256017,0.29772213,0.37667623
2017-05-25 21:50:00,0.30447823,0.28827608,0.40724573
2017-05-25 21:55:00,0.3102832,0.27537706,0.41433975
2017-05-25 22:00:00,0.31298813,0.28945923,0.3975526
2017-05-25 22:05:00,0.3184565,0.29457203,0.38697147
2017-05-25 22:10:00,0.373059,0.30358157,0.3233594
2017-05-25 22:15:00,0.33358377,0.30447802,0.3619382
2017-05-25 22:20:00,0.3384627,0.33086783,0.3306695
2017-05-25 22:25:00,0.36601824,0.30878073,0.325201
2017-05-25 22:30:00,0.37553838,0.308701,0.3157607
2017-05-25 22:35:00,0.4106659,0.29287967,0.29645446
2017-05-25 22:40:00,0.3520752,0.3234067,0.32451808
2017-05-25 22:45:00,0.38341787,0.30294263,0.31363955
2017-05-25 22:50:00,0.36564142,0.30776748,0.3265912
2017-05-25 22:55:00,0.33238563,0.30967736,0.357937
2017-05-25 23:00:00,0.37147018,0.3060676,0.3224623
2017-05-25 23:05:00,0.3702284,0.30863282,0.32113874
2017-05-25 23:10:00,0.39443642,0.29417253,0.3113911
2017-05-25 23:15:00,0.34512955,0.32679495,0.3280755
2017-05-25 23:20:00,0.35524413,0.32128438,0.32347146
2017-05-25 23:25:00,0.3670432,0.31497952,0.31797728
2017-05-25 23:30:00,0.33613625,0.3299721,0.33389172
2017-05-25 23:35:00,0.33573705,0.3303675,0.33389547
2017-05-25 23:40:00,0.323296,0.3336874,0.34301662
2017-05-25 23:45:00,0.34401515,0.3229958,0.332989
2017-05-25 23:50:00,0.36277685,0.3154936,0.32172954
2017-05-25 23:55:00,0.3648931,0.3170881,0.31801876
2017-05-26 00:00:00,0.3778253,0.3130788,0.3090959
2017-05-26 00:05:00,0.3432081,0.3276609,0.32913104
2017-05-26 00:10:00,0.35599717,0.32030404,0.3236988
2017-05-26 00:15:00,0.36044064,0.31482837,0.32473096
2017-05-26 00:20:00,0.35347235,0.31932986,0.3271978
2017-05-26 00:25:00,0.35960498,0.3202221,0.32017294
2017-05-26 00:30:00,0.39148313,0.3026245,0.3058924
2017-05-26 00:35:00,0.3971362,0.29885414,0.3040097
2017-05-26 00:40:00,0.36003196,0.3170175,0.32295057
2017-05-26 00:45:00,0.43436128,0.28024033,0.2853984
2017-05-26 00:50:00,0.3956312,0.29708317,0.30728567
2017-05-26 00:55:00,0.36841175,0.31382826,0.31775996
2017-05-26 01:00:00,0.38777354,0.30239865,0.3098278
2017-05-26 01:05:00,0.33680245,0.33160388,0.3315936
2017-05-26 01:10:00,0.34512153,0.32744145,0.32743698
2017-05-26 01:15:00,0.33410373,0.33294892,0.3329473
2017-05-26 01:20:00,0.3360318,0.33198616,0.3319821
2017-05-26 01:25:00,0.39540392,0.30229,0.30230612
2017-05-26 01:30:00,0.3345429,0.3327272,0.33272994
2017-05-26 01:35:00,0.33482304,0.33258983,0.3325871
2017-05-26 01:40:00,0.36804113,0.31607,0.31588885
2017-05-26 01:45:00,0.35439715,0.32251257,0.3230903
2017-05-26 01:50:00,0.34541902,0.32727706,0.32730392
2017-05-26 01:55:00,0.3428806,0.32854587,0.32857355
2017-05-26 02:00:00,0.36123613,0.3193423,0.3194215
2017-05-26 02:05:00,0.33483905,0.3325812,0.33257973
2017-05-26 02:10:00,0.5179069,0.24103966,0.24105342
2017-05-26 02:15:00,0.5645648,0.21741408,0.21802108
2017-05-26 02:20:00,0.3373578,0.33104664,0.33159557
2017-05-26 02:25:00,0.4018926,0.29905355,0.2990538
2017-05-26 02:30:00,0.35447997,0.3227105,0.32280952
2017-05-26 02:35:00,0.42923656,0.2853466,0.28541687
2017-05-26 02:40:00,0.3346452,0.33267707,0.3326777
2017-05-26 02:45:00,0.33394837,0.33302382,0.33302784
2017-05-26 02:50:00,0.37452435,0.31270325,0.31277236
2017-05-26 02:55:00,0.34052438,0.32973784,0.32973778
2017-05-26 03:00:00,0.3399656,0.33001453,0.33001986
2017-05-26 03:05:00,0.41480348,0.2925926,0.29260394
2017-05-26 03:10:00,0.334918,0.33253923,0.33254278
2017-05-26 03:15:00,0.33372074,0.3331379,0.33314136
2017-05-26 03:20:00,0.33384165,0.3330783,0.33308008
2017-05-26 03:25:00,0.36378998,0.3181044,0.31810573
2017-05-26 03:30:00,0.37774396,0.31103572,0.31122026
2017-05-26 03:35:00,0.39582524,0.30209145,0.30208328
2017-05-26 03:40:00,0.33384854,0.33307597,0.33307546
2017-05-26 03:45:00,0.5376528,0.23025228,0.23209499
2017-05-26 03:50:00,0.33537304,0.33229005,0.33233696
2017-05-26 03:55:00,0.34142008,0.32928148,0.32929844
2017-05-26 04:00:00,0.46157587,0.26919827,0.26922575
2017-05-26 04:05:00,0.34646872,0.32674146,0.32678977
2017-05-26 04:10:00,0.33509225,0.33242464,0.33248317
2017-05-26 04:15:00,0.35426652,0.32283953,0.322894
2017-05-26 04:20:00,0.49647662,0.25176054,0.25176284
2017-05-26 04:25:00,0.5233144,0.238303,0.23838258
2017-05-26 04:30:00,0.50004363,0.24988723,0.2500691
2017-05-26 04:35:00,0.34333804,0.32832786,0.32833406
2017-05-26 04:40:00,0.37138033,0.3142699,0.3143498
2017-05-26 04:45:00,0.33497617,0.33244425,0.33257952
2017-05-26 04:50:00,0.34643292,0.32677788,0.32678917
2017-05-26 04:55:00,0.33625194,0.33186877,0.33187923
2017-05-26 05:00:00,0.37806883,0.31063384,0.31129733
2017-05-26 05:05:00,0.3358759,0.33202198,0.33210215
2017-05-26 05:10:00,0.3340982,0.33295035,0.33295143
2017-05-26 05:15:00,0.33975685,0.33012456,0.33011863
2017-05-26 05:20:00,0.33814287,0.33092856,0.3309286
2017-05-26 05:25:00,0.3386553,0.33065102,0.33069366
2017-05-26 05:30:00,0.3370988,0.3314494,0.33145183
2017-05-26 05:35:00,0.3791786,0.31044078,0.31038055
2017-05-26 05:40:00,0.3583145,0.320832,0.32085344
2017-05-26 05:45:00,0.33997253,0.33001363,0.33001384
2017-05-26 05:50:00,0.41262433,0.29365367,0.293722
2017-05-26 05:55:00,0.5514291,0.21838439,0.2301865
2017-05-26 06:00:00,0.45013693,0.27457324,0.27528977
