,right,left
2017-05-25 19:45:00,0.357556,0.642444
2017-05-25 19:50:00,0.3004493,0.6995507
2017-05-25 19:55:00,0.28495708,0.71504295
2017-05-25 20:00:00,0.2987721,0.70122784
2017-05-25 20:05:00,0.2986145,0.70138544
2017-05-25 20:10:00,0.29166245,0.70833755
2017-05-25 20:15:00,0.29534495,0.7046551
2017-05-25 20:20:00,0.31568784,0.68431216
2017-05-25 20:25:00,0.3105664,0.6894336
2017-05-25 20:30:00,0.3198922,0.6801077
2017-05-25 20:35:00,0.30763656,0.69236344
2017-05-25 20:40:00,0.3302443,0.6697557
2017-05-25 20:45:00,0.3376838,0.6623162
2017-05-25 20:50:00,0.39670593,0.60329413
2017-05-25 20:55:00,0.33015805,0.66984195
2017-05-25 21:00:00,0.35137355,0.64862645
2017-05-25 21:05:00,0.36124015,0.63875985
2017-05-25 21:10:00,0.35221636,0.64778364
2017-05-25 21:15:00,0.3320031,0.66799694
2017-05-25 21:20:00,0.3426233,0.6573767
2017-05-25 21:25:00,0.31944218,0.6805578
2017-05-25 21:30:00,0.3152305,0.68476945
2017-05-25 21:35:00,0.32417956,0.6758204
2017-05-25 21:40:00,0.3096052,0.69039476
2017-05-25 21:45:00,0.32395083,0.67604923
2017-05-25 21:50:00,0.3334539,0.6665461
2017-05-25 21:55:00,0.31163627,0.68836373
2017-05-25 22:00:00,0.34559557,0.65440446
2017-05-25 22:05:00,0.3849487,0.61505127
2017-05-25 22:10:00,0.40584388,0.5941561
2017-05-25 22:15:00,0.43533283,0.5646672
2017-05-25 22:20:00,0.45446917,0.54553086
2017-05-25 22:25:00,0.4671554,0.53284454
2017-05-25 22:30:00,0.49678856,0.5032115
2017-05-25 22:35:00,0.5113269,0.48867315
2017-05-25 22:40:00,0.47278807,0.52721196
2017-05-25 22:45:00,0.49118993,0.5088101
2017-05-25 22:50:00,0.49138045,0.5086196
2017-05-25 22:55:00,0.48416516,0.5158348
2017-05-25 23:00:00,0.4910667,0.50893337
2017-05-25 23:05:00,0.50107104,0.4989289
2017-05-25 23:10:00,0.48357305,0.5164269
2017-05-25 23:15:00,0.47070178,0.5292982
2017-05-25 23:20:00,0.46774587,0.53225416
2017-05-25 23:25:00,0.49003822,0.5099618
2017-05-25 23:30:00,0.48638812,0.5136119
2017-05-25 23:35:00,0.4705171,0.5294829
2017-05-25 23:40:00,0.50795406,0.49204594
2017-05-25 23:45:00,0.5092042,0.49079576
2017-05-25 23:50:00,0.5113866,0.4886135
2017-05-25 23:55:00,0.5197115,0.4802885
2017-05-26 00:00:00,0.47240308,0.52759695
2017-05-26 00:05:00,0.46756977,0.5324302
2017-05-26 00:10:00,0.48056695,0.51943296
2017-05-26 00:15:00,0.4751422,0.5248578
2017-05-26 00:20:00,0.4965266,0.5034734
2017-05-26 00:25:00,0.44332674,0.5566733
2017-05-26 00:30:00,0.46249953,0.53750044
2017-05-26 00:35:00,0.4683263,0.5316737
2017-05-26 00:40:00,0.46188423,0.53811574
2017-05-26 00:45:00,0.5306604,0.46933958
2017-05-26 00:50:00,0.5016555,0.4983445
2017-05-26 00:55:00,0.4856298,0.51437014
2017-05-26 01:00:00,0.45742905,0.54257095
2017-05-26 01:05:00,0.47205523,0.52794474
2017-05-26 01:10:00,0.4858903,0.5141097
2017-05-26 01:15:00,0.44846353,0.55153644
2017-05-26 01:20:00,0.43101832,0.56898165
2017-05-26 01:25:00,0.34602767,0.6539723
2017-05-26 01:30:00,0.5056195,0.49438053
2017-05-26 01:35:00,0.48445234,0.51554775
2017-05-26 01:40:00,0.4620419,0.5379581
2017-05-26 01:45:00,0.48697382,0.5130262
2017-05-26 01:50:00,0.47559637,0.5244036
2017-05-26 01:55:00,0.43506414,0.56493586
2017-05-26 02:00:00,0.4477669,0.55223316
2017-05-26 02:05:00,0.45157287,0.5484271
2017-05-26 02:10:00,0.4175781,0.58242196
2017-05-26 02:15:00,0.48282662,0.51717335
2017-05-26 02:20:00,0.4921829,0.5078171
2017-05-26 02:25:00,0.48993585,0.5100642
2017-05-26 02:30:00,0.5169635,0.48303652
2017-05-26 02:35:00,0.50014365,0.49985638
2017-05-26 02:40:00,0.5187356,0.48126435
2017-05-26 02:45:00,0.61022115,0.38977876
2017-05-26 02:50:00,0.49999022,0.5000098
2017-05-26 02:55:00,0.48931584,0.5106842
2017-05-26 03:00:00,0.48301095,0.516989
2017-05-26 03:05:00,0.48410365,0.5158963
2017-05-26 03:10:00,0.5848487,0.41515124
2017-05-26 03:15:00,0.5004744,0.49952564
2017-05-26 03:20:00,0.5030685,0.49693152
2017-05-26 03:25:00,0.52718484,0.47281522
2017-05-26 03:30:00,0.53510016,0.4648999
2017-05-26 03:35:00,0.5326904,0.46730962
2017-05-26 03:40:00,0.5439463,0.45605367
2017-05-26 03:45:00,0.48249003,0.51751
2017-05-26 03:50:00,0.48119766,0.5188024
2017-05-26 03:55:00,0.6251962,0.37480384
2017-05-26 04:00:00,0.500021,0.499979
2017-05-26 04:05:00,0.40528277,0.59471726
2017-05-26 04:10:00,0.5019236,0.49807644
2017-05-26 04:15:00,0.4998736,0.5001264
2017-05-26 04:20:00,0.3927465,0.6072535
2017-05-26 04:25:00,0.49919638,0.5008036
2017-05-26 04:30:00,0.3743725,0.62562746
2017-05-26 04:35:00,0.46900782,0.53099227
2017-05-26 04:40:00,0.42388764,0.5761124
2017-05-26 04:45:00,0.46338487,0.53661513
2017-05-26 04:50:00,0.36270398,0.637296
2017-05-26 04:55:00,0.5106181,0.48938182
2017-05-26 05:00:00,0.59633285,0.4036671
2017-05-26 05:05:00,0.47932953,0.5206705
2017-05-26 05:10:00,0.3301987,0.6698013
2017-05-26 05:15:00,0.4223224,0.57767755
2017-05-26 05:20:00,0.38545746,0.61454254
2017-05-26 05:25:00,0.38076696,0.619233
2017-05-26 05:30:00,0.4249826,0.57501733
2017-05-26 05:35:00,0.45862585,0.54137415
2017-05-26 05:40:00,0.38305542,0.6169446
2017-05-26 05:45:00,0.44411874,0.5558812
2017-05-26 05:50:00,0.48541164,0.5145884
2017-05-26 05:55:00,0.47357723,0.5264228
2017-05-26 06:00:00,0.4880647,0.51193523
2017-05-26 06:05:00,0.4935773,0.5064227
2017-05-26 06:10:00,0.48828033,0.51171964
2017-05-26 06:15:00,0.4955391,0.50446093
2017-05-26 06:20:00,0.45361814,0.5463819
2017-05-26 06:25:00,0.46230736,0.53769267
2017-05-26 06:30:00,0.46876642,0.53123355
2017-05-26 06:35:00,0.47187924,0.5281207
2017-05-26 06:40:00,0.45759752,0.5424025
2017-05-26 06:45:00,0.4729207,0.52707934
2017-05-26 06:50:00,0.48795033,0.5120497
2017-05-26 06:55:00,0.4726289,0.52737117
2017-05-26 07:00:00,0.4789144,0.52108556
2017-05-26 07:05:00,0.47502992,0.5249701
2017-05-26 07:10:00,0.4889097,0.5110902
2017-05-26 07:15:00,0.5073967,0.49260327
2017-05-26 07:20:00,0.5026727,0.49732733
2017-05-26 07:25:00,0.5083199,0.4916801
2017-05-26 07:30:00,0.51725847,0.4827416
2017-05-26 07:35:00,0.51136667,0.48863336
2017-05-26 07:40:00,0.54152143,0.4584786
2017-05-26 07:45:00,0.5206325,0.47936746
2017-05-26 07:50:00,0.5550931,0.44490692
2017-05-26 07:55:00,0.58289826,0.4171017
2017-05-26 08:00:00,0.597868,0.40213197
2017-05-26 08:05:00,0.5164344,0.48356566
2017-05-26 08:10:00,0.5992414,0.40075862
2017-05-26 08:15:00,0.67874354,0.32125646
2017-05-26 08:20:00,0.7307336,0.2692665
2017-05-26 08:25:00,0.7302875,0.2697125
2017-05-26 08:30:00,0.72758824,0.27241173
2017-05-26 08:35:00,0.7243473,0.27565277
2017-05-26 08:40:00,0.72609776,0.27390227
2017-05-26 08:45:00,0.71456903,0.285431
2017-05-26 08:50:00,0.6587529,0.34124705
2017-05-26 08:55:00,0.7238574,0.27614263
2017-05-26 09:00:00,0.7282794,0.2717206
2017-05-26 09:05:00,0.7047707,0.29522926
2017-05-26 09:10:00,0.6665168,0.33348322
2017-05-26 09:15:00,0.54893255,0.4510675
2017-05-26 09:20:00,0.48641613,0.51358384
2017-05-26 09:25:00,0.49571192,0.5042881
2017-05-26 09:30:00,0.49775767,0.5022423
2017-05-26 09:35:00,0.42361027,0.57638973
2017-05-26 09:40:00,0.45254672,0.54745334
2017-05-26 09:45:00,0.47425428,0.52574575
2017-05-26 09:50:00,0.48724136,0.5127587
2017-05-26 09:55:00,0.45654273,0.5434573
2017-05-26 10:00:00,0.4950719,0.50492805
2017-05-26 10:05:00,0.49907374,0.50092626
2017-05-26 10:10:00,0.50666326,0.49333677
2017-05-26 10:15:00,0.4372897,0.56271034
2017-05-26 10:20:00,0.5037315,0.4962685
2017-05-26 10:25:00,0.5055994,0.49440053
2017-05-26 10:30:00,0.49020627,0.50979376
2017-05-26 10:35:00,0.4925609,0.50743914
2017-05-26 10:40:00,0.48825622,0.5117438
2017-05-26 10:45:00,0.44475275,0.55524725
2017-05-26 10:50:00,0.47713077,0.5228692
2017-05-26 10:55:00,0.4407834,0.5592165
2017-05-26 11:00:00,0.45144427,0.54855573
2017-05-26 11:05:00,0.52925533,0.47074467
2017-05-26 11:10:00,0.52202815,0.4779718
2017-05-26 11:15:00,0.51851,0.48149002
2017-05-26 11:20:00,0.52187127,0.47812867
2017-05-26 11:25:00,0.511774,0.48822606
2017-05-26 11:30:00,0.48810187,0.51189816
2017-05-26 11:35:00,0.45720825,0.5427917
2017-05-26 11:40:00,0.42516217,0.5748378
2017-05-26 11:45:00,0.42690483,0.5730952
2017-05-26 11:50:00,0.3885111,0.61148894
2017-05-26 11:55:00,0.43156633,0.5684337
2017-05-26 12:00:00,0.39563966,0.60436034
2017-05-26 12:05:00,0.38596395,0.614036
2017-05-26 12:10:00,0.36184508,0.6381549
2017-05-26 12:15:00,0.34398207,0.65601796
2017-05-26 12:20:00,0.3472138,0.6527862
2017-05-26 12:25:00,0.35655385,0.64344615
2017-05-26 12:30:00,0.3359417,0.6640583
2017-05-26 12:35:00,0.35692897,0.643071
2017-05-26 12:40:00,0.3683594,0.6316406
2017-05-26 12:45:00,0.4100961,0.5899039
2017-05-26 12:50:00,0.37919998,0.6208
2017-05-26 12:55:00,0.35883632,0.6411637
2017-05-26 13:00:00,0.34927937,0.6507206
2017-05-26 13:05:00,0.3469381,0.65306187
2017-05-26 13:10:00,0.32875744,0.67124254
2017-05-26 13:15:00,0.39943206,0.60056794
2017-05-26 13:20:00,0.37958685,0.6204131
2017-05-26 13:25:00,0.39705995,0.60294
2017-05-26 13:30:00,0.37798122,0.62201875
2017-05-26 13:35:00,0.39264536,0.60735464
2017-05-26 13:40:00,0.36666462,0.63333535
2017-05-26 13:45:00,0.33811265,0.66188735
2017-05-26 13:50:00,0.39142054,0.60857946
2017-05-26 13:55:00,0.39018196,0.6098181
2017-05-26 14:00:00,0.389542,0.610458
2017-05-26 14:05:00,0.3903837,0.6096163
2017-05-26 14:10:00,0.37640652,0.62359345
2017-05-26 14:15:00,0.3644796,0.6355204
2017-05-26 14:20:00,0.36404738,0.6359526
2017-05-26 14:25:00,0.34070212,0.6592979
2017-05-26 14:30:00,0.31361634,0.68638366
2017-05-26 14:35:00,0.31571412,0.6842858
2017-05-26 14:40:00,0.33818108,0.6618189
2017-05-26 14:45:00,0.3165937,0.68340623
2017-05-26 14:50:00,0.34476098,0.655239
2017-05-26 14:55:00,0.36759144,0.63240856
2017-05-26 15:00:00,0.38056955,0.6194305
2017-05-26 15:05:00,0.40382037,0.5961796
2017-05-26 15:10:00,0.41853428,0.5814657
2017-05-26 15:15:00,0.36897805,0.631022
2017-05-26 15:20:00,0.367384,0.632616
2017-05-26 15:25:00,0.34623733,0.6537627
2017-05-26 15:30:00,0.33705232,0.66294765
2017-05-26 15:35:00,0.33976194,0.6602381
2017-05-26 15:40:00,0.33144858,0.6685514
2017-05-26 15:45:00,0.36415046,0.6358495
2017-05-26 15:50:00,0.38782963,0.61217034
2017-05-26 15:55:00,0.35846415,0.6415358
2017-05-26 16:00:00,0.3204101,0.67958987
2017-05-26 16:05:00,0.3146489,0.68535113
2017-05-26 16:10:00,0.33296922,0.6670308
2017-05-26 16:15:00,0.3503542,0.6496458
2017-05-26 16:20:00,0.3326695,0.66733044
2017-05-26 16:25:00,0.3523057,0.6476943
2017-05-26 16:30:00,0.32822716,0.67177284
2017-05-26 16:35:00,0.32720548,0.6727945
2017-05-26 16:40:00,0.36153966,0.63846034
2017-05-26 16:45:00,0.33566734,0.6643326
2017-05-26 16:50:00,0.34267572,0.65732425
2017-05-26 16:55:00,0.3538967,0.64610326
2017-05-26 17:00:00,0.3436346,0.6563654
2017-05-26 17:05:00,0.29770032,0.7022996
2017-05-26 17:10:00,0.30364612,0.69635385
2017-05-26 17:15:00,0.30824918,0.6917508
2017-05-26 17:20:00,0.29502192,0.70497805
2017-05-26 17:25:00,0.31239647,0.6876035
2017-05-26 17:30:00,0.3031277,0.6968723
2017-05-26 17:35:00,0.2914045,0.7085955
2017-05-26 17:40:00,0.30659807,0.69340193
2017-05-26 17:45:00,0.28240317,0.7175968
2017-05-26 17:50:00,0.28445965,0.7155403
2017-05-26 17:55:00,0.3117247,0.68827534
2017-05-26 18:00:00,0.3122053,0.6877947
2017-05-26 18:05:00,0.30193934,0.69806063
2017-05-26 18:10:00,0.31079707,0.6892029
2017-05-26 18:15:00,0.33576503,0.6642349
2017-05-26 18:20:00,0.33306465,0.6669354
2017-05-26 18:25:00,0.30151743,0.6984826
2017-05-26 18:30:00,0.31870648,0.68129355
2017-05-26 18:35:00,0.3140593,0.6859407
2017-05-26 18:40:00,0.32933664,0.67066336
2017-05-26 18:45:00,0.34126619,0.6587338
2017-05-26 18:50:00,0.4053721,0.59462786
2017-05-26 18:55:00,0.38903263,0.61096734
2017-05-26 19:00:00,0.36384723,0.63615274
2017-05-26 19:05:00,0.32783175,0.67216825
2017-05-26 19:10:00,0.32532567,0.6746743
2017-05-26 19:15:00,0.3181567,0.68184334
2017-05-26 19:20:00,0.32826033,0.6717397
2017-05-26 19:25:00,0.33501744,0.66498256
2017-05-26 19:30:00,0.35854337,0.6414566
2017-05-26 19:35:00,0.3512724,0.6487276
2017-05-26 19:40:00,0.37614986,0.62385017
2017-05-26 19:45:00,0.32074884,0.6792512
2017-05-26 19:50:00,0.3476479,0.65235204
2017-05-26 19:55:00,0.35102475,0.64897525
2017-05-26 20:00:00,0.33168158,0.6683185
