,straight,right,left
2012-06-04 05:10:00,0.3339451,0.33511388,0.33094108
2012-06-04 05:15:00,0.27795407,0.3777911,0.3442548
2012-06-04 05:20:00,0.32359293,0.34145522,0.33495185
2012-06-04 05:25:00,0.29721975,0.35523304,0.34754717
2012-06-04 05:30:00,0.33020487,0.34461883,0.3251763
2012-06-04 05:35:00,0.300048,0.35621148,0.34374052
2012-06-04 05:40:00,0.27516034,0.38011706,0.34472263
2012-06-04 05:45:00,0.3186449,0.3438199,0.33753523
2012-06-04 05:50:00,0.27976188,0.36396623,0.3562718
2012-06-04 05:55:00,0.26226047,0.38132945,0.3564101
2012-06-04 06:00:00,0.23225483,0.45761478,0.3101303
2012-06-04 06:05:00,0.2966373,0.3775998,0.32576284
2012-06-04 06:10:00,0.21427579,0.4341726,0.35155165
2012-06-04 06:15:00,0.36667466,0.42879346,0.20453192
2012-06-04 06:20:00,0.31934085,0.3937472,0.28691196
2012-06-04 06:25:00,0.31592563,0.35272756,0.33134678
2012-06-04 06:30:00,0.32202214,0.45300338,0.2249745
2012-06-04 06:35:00,0.29786685,0.36813286,0.33400026
2012-06-04 06:40:00,0.30877882,0.36621946,0.3250018
2012-06-04 06:45:00,0.25285086,0.38012385,0.36702535
2012-06-04 06:50:00,0.29323548,0.36366856,0.34309602
2012-06-04 06:55:00,0.32082355,0.38167372,0.29750276
2012-06-04 07:00:00,0.27761838,0.47100842,0.25137326
2012-06-04 07:05:00,0.3063539,0.37143663,0.3222095
2012-06-04 07:10:00,0.2286654,0.39151758,0.37981704
2012-06-04 07:15:00,0.28819913,0.35834283,0.35345805
2012-06-04 07:20:00,0.2789623,0.36925647,0.3517812
2012-06-04 07:25:00,0.2344551,0.39890346,0.36664143
2012-06-04 07:30:00,0.30853042,0.35178816,0.3396815
2012-06-04 07:35:00,0.26521495,0.37223682,0.36254823
2012-06-04 07:40:00,0.313482,0.35718992,0.3293281
2012-06-04 07:45:00,0.24075897,0.39767283,0.3615682
2012-06-04 07:50:00,0.3296811,0.34125668,0.32906222
2012-06-04 07:55:00,0.28858235,0.3613692,0.35004848
2012-06-04 08:00:00,0.31302047,0.34781587,0.33916366
2012-06-04 08:05:00,0.2868429,0.36031434,0.3528427
2012-06-04 08:10:00,0.31326512,0.35238954,0.33434534
2012-06-04 08:15:00,0.2814272,0.36376056,0.35481218
2012-06-04 08:20:00,0.239789,0.38331205,0.37689894
2012-06-04 08:25:00,0.3130537,0.34538883,0.34155747
2012-06-04 08:30:00,0.32600072,0.33822757,0.3357717
2012-06-04 08:35:00,0.27850065,0.36170614,0.35979316
2012-06-04 08:40:00,0.30885714,0.3466471,0.34449574
2012-06-04 08:45:00,0.31829488,0.34117588,0.34052923
2012-06-04 08:50:00,0.34323835,0.25718832,0.39957333
2012-06-04 08:55:00,0.24479325,0.3774618,0.37774488
2012-06-04 09:00:00,0.21210825,0.394069,0.39382276
2012-06-04 09:05:00,0.23795857,0.38105255,0.38098893
2012-06-04 09:10:00,0.30381188,0.34812066,0.3480674
2012-06-04 09:15:00,0.2722739,0.3638325,0.36389366
2012-06-04 09:20:00,0.24897912,0.3755211,0.37549984
2012-06-04 09:25:00,0.32012725,0.33993632,0.3399364
2012-06-04 09:30:00,0.18292011,0.40856475,0.40851516
2012-06-04 09:35:00,0.1995944,0.4003019,0.40010375
2012-06-04 09:40:00,0.32934418,0.33539608,0.33525974
2012-06-04 09:45:00,0.22964543,0.38552594,0.38482866
2012-06-04 09:50:00,0.3223332,0.33911383,0.33855298
2012-06-04 09:55:00,0.31321818,0.35219133,0.3345905
2012-06-04 10:00:00,0.40748948,0.43259433,0.15991615
2012-06-04 10:05:00,0.38245943,0.44621673,0.17132376
2012-06-04 10:10:00,0.28150317,0.4502056,0.26829123
2012-06-04 10:15:00,0.30589804,0.34789324,0.34620872
2012-06-04 10:20:00,0.17727396,0.4126397,0.41008636
2012-06-04 10:25:00,0.21059377,0.56567955,0.22372667
2012-06-04 10:30:00,0.15750842,0.42814872,0.41434285
2012-06-04 10:35:00,0.15564197,0.4230418,0.42131627
2012-06-04 10:40:00,0.15539831,0.4223306,0.42227107
2012-06-04 10:45:00,0.15548536,0.42263466,0.42188007
2012-06-04 10:50:00,0.15803616,0.42108384,0.42088
2012-06-04 10:55:00,0.155627,0.42252085,0.42185214
2012-06-04 11:00:00,0.15749146,0.4213186,0.42118993
2012-06-04 11:05:00,0.15560836,0.42245236,0.42193925
2012-06-04 11:10:00,0.18435365,0.4078777,0.40776867
2012-06-04 11:15:00,0.15938401,0.4203703,0.4202457
2012-06-04 11:20:00,0.15582173,0.42217168,0.4220066
2012-06-04 11:25:00,0.18934551,0.40539494,0.40525952
2012-06-04 11:30:00,0.15975606,0.42045814,0.41978583
2012-06-04 11:35:00,0.20038031,0.40002644,0.39959326
2012-06-04 11:40:00,0.15941961,0.42059967,0.41998073
2012-06-04 11:45:00,0.16008088,0.42020744,0.41971162
2012-06-04 11:50:00,0.16978268,0.41571337,0.41450393
2012-06-04 11:55:00,0.17042266,0.41544586,0.41413146
2012-06-04 12:00:00,0.16712713,0.41810593,0.414767
2012-06-04 12:05:00,0.15859655,0.42121667,0.4201868
2012-06-04 12:10:00,0.16272806,0.4193551,0.4179168
2012-06-04 12:15:00,0.15627588,0.42228547,0.4214386
2012-06-04 12:20:00,0.16120969,0.4200473,0.41874298
2012-06-04 12:25:00,0.16352071,0.4183881,0.41809118
2012-06-04 12:30:00,0.1554598,0.4225283,0.42201188
2012-06-04 12:35:00,0.15565047,0.42256883,0.4217807
2012-06-04 12:40:00,0.15619801,0.42230392,0.42149803
2012-06-04 12:45:00,0.15588053,0.4230356,0.42108384
2012-06-04 12:50:00,0.15783763,0.4223318,0.41983056
2012-06-04 12:55:00,0.15825886,0.4215363,0.42020485
2012-06-04 13:00:00,0.16580164,0.41832912,0.41586924
2012-06-04 13:05:00,0.18009235,0.41092047,0.4089871
2012-06-04 13:10:00,0.2751533,0.36398044,0.3608662
2012-06-04 13:15:00,0.24364603,0.3789267,0.37742725
2012-06-04 13:20:00,0.15621808,0.42441586,0.41936615
2012-06-04 13:25:00,0.16103366,0.42084166,0.4181247
2012-06-04 13:30:00,0.15793714,0.42574155,0.41632134
2012-06-04 13:35:00,0.16727927,0.43232867,0.40039206
2012-06-04 13:40:00,0.16118784,0.43741366,0.40139848
2012-06-04 13:45:00,0.1596395,0.42506042,0.4153001
2012-06-04 13:50:00,0.18061723,0.46820438,0.3511784
2012-06-04 13:55:00,0.17011613,0.4183433,0.4115406
2012-06-04 14:00:00,0.18629153,0.42312828,0.39058018
2012-06-04 14:05:00,0.15588863,0.42217195,0.42193943
2012-06-04 14:10:00,0.19259591,0.40205452,0.40534952
2012-06-04 14:15:00,0.15849292,0.42862234,0.41288477
2012-06-04 14:20:00,0.1617242,0.41968742,0.41858843
2012-06-04 14:25:00,0.19499612,0.40263674,0.40236717
2012-06-04 14:30:00,0.15568312,0.42279914,0.4215177
2012-06-04 14:35:00,0.15567465,0.42240658,0.4219188
2012-06-04 14:40:00,0.15546331,0.42226148,0.42227527
2012-06-04 14:45:00,0.15565604,0.42265365,0.42169026
2012-06-04 14:50:00,0.15559627,0.42268187,0.42172185
2012-06-04 14:55:00,0.15564132,0.4227494,0.42160925
2012-06-04 15:00:00,0.15551442,0.42238337,0.42210215
2012-06-04 15:05:00,0.15574533,0.42219332,0.4220613
2012-06-04 15:10:00,0.15816842,0.4292171,0.4126144
2012-06-04 15:15:00,0.15611663,0.42369506,0.42018834
2012-06-04 15:20:00,0.15668492,0.42508063,0.4182345
2012-06-04 15:25:00,0.15693527,0.4252418,0.4178229
2012-06-04 15:30:00,0.15555197,0.4226739,0.42177412
2012-06-04 15:35:00,0.1590227,0.43064266,0.41033468
2012-06-04 15:40:00,0.15622044,0.41996583,0.42381364
2012-06-04 15:45:00,0.1634102,0.3947719,0.44181788
2012-06-04 15:50:00,0.15877402,0.42737553,0.4138505
2012-06-04 15:55:00,0.16158374,0.43280149,0.40561476
2012-06-04 16:00:00,0.16028433,0.42942545,0.41029027
2012-06-04 16:05:00,0.1605728,0.43248326,0.406944
2012-06-04 16:10:00,0.1574429,0.42443448,0.41812265
2012-06-04 16:15:00,0.15917903,0.42665967,0.4141613
2012-06-04 16:20:00,0.15824774,0.42401686,0.4177354
2012-06-04 16:25:00,0.15857527,0.42687953,0.41454518
2012-06-04 16:30:00,0.15773839,0.4234809,0.41878065
2012-06-04 16:35:00,0.15729578,0.4243406,0.41836363
2012-06-04 16:40:00,0.15682773,0.42275783,0.42041436
2012-06-04 16:45:00,0.159263,0.42000976,0.42072725
2012-06-04 16:50:00,0.15958308,0.42108607,0.41933084
2012-06-04 16:55:00,0.16119424,0.41508672,0.42371902
2012-06-04 17:00:00,0.16020598,0.4218759,0.41791812
2012-06-04 17:05:00,0.15987492,0.4195382,0.42058685
2012-06-04 17:10:00,0.16060539,0.41785142,0.42154318
2012-06-04 17:15:00,0.16085488,0.4125474,0.42659765
2012-06-04 17:20:00,0.15720172,0.4219699,0.42082843
2012-06-04 17:25:00,0.15725265,0.41992244,0.42282492
2012-06-04 17:30:00,0.16389418,0.4017131,0.43439272
2012-06-04 17:35:00,0.16235462,0.40211153,0.43553388
2012-06-04 17:40:00,0.16101126,0.40578255,0.43320623
2012-06-04 17:45:00,0.17060892,0.3710471,0.45834392
2012-06-04 17:50:00,0.17038567,0.38328487,0.44632947
2012-06-04 17:55:00,0.17168523,0.36873108,0.45958367
2012-06-04 18:00:00,0.16135931,0.40381896,0.43482178
2012-06-04 18:05:00,0.18372852,0.33284014,0.48343134
2012-06-04 18:10:00,0.17601702,0.3518237,0.4721593
2012-06-04 18:15:00,0.21758245,0.21758245,0.564835
2012-06-04 18:20:00,0.22614162,0.22614561,0.5477128
2012-06-04 18:25:00,0.3331882,0.33341402,0.33339784
2012-06-04 18:30:00,0.26397732,0.2813092,0.45471352
2012-06-04 18:35:00,0.33333337,0.33333334,0.33333334
2012-06-04 18:40:00,0.33333337,0.33333334,0.33333325
2012-06-04 18:45:00,0.33333328,0.33333337,0.33333328
2012-06-04 18:50:00,0.3330699,0.33386028,0.3330699
2012-06-04 18:55:00,0.33333334,0.3333333,0.33333334
2012-06-04 19:00:00,0.3311649,0.3376703,0.33116478
2012-06-04 19:05:00,0.29789212,0.4042158,0.29789212
2012-06-04 19:10:00,0.30158252,0.3968351,0.30158243
2012-06-04 19:15:00,0.318892,0.362216,0.31889197
2012-06-04 19:20:00,0.30657518,0.3868497,0.30657518
2012-06-04 19:25:00,0.33073327,0.33863392,0.33063275
2012-06-04 19:30:00,0.33332062,0.3333684,0.33331102
2012-06-04 19:35:00,0.5721585,0.21392068,0.21392077
2012-06-04 19:40:00,0.47270128,0.26730937,0.25998938
2012-06-04 19:45:00,0.40296027,0.37261945,0.22442023
2012-06-04 19:50:00,0.5495043,0.2345291,0.21596663
2012-06-04 19:55:00,0.3793707,0.24276859,0.37786078
2012-06-04 20:00:00,0.30704862,0.34427124,0.3486802
2012-06-04 20:05:00,0.3220122,0.35764822,0.3203396
2012-06-04 20:10:00,0.3261849,0.338962,0.33485317
2012-06-04 20:15:00,0.340312,0.37305978,0.28662822
2012-06-04 20:20:00,0.3135417,0.35010725,0.33635107
2012-06-04 20:25:00,0.32052755,0.34189424,0.33757815
2012-06-04 20:30:00,0.32109046,0.34058237,0.33832717
2012-06-04 20:35:00,0.29302856,0.35431814,0.3526533
2012-06-04 20:40:00,0.30801722,0.34694538,0.34503734
2012-06-04 20:45:00,0.31919926,0.34109095,0.33970976
2012-06-04 20:50:00,0.32407725,0.33874297,0.33717975
2012-06-04 20:55:00,0.30191028,0.34982315,0.3482666
2012-06-04 21:00:00,0.3000534,0.35099202,0.34895465
2012-06-04 21:05:00,0.3186069,0.341187,0.34020603
2012-06-04 21:10:00,0.33109894,0.33463836,0.33426267
2012-06-04 21:15:00,0.30907,0.34556097,0.34536907
2012-06-04 21:20:00,0.32586393,0.33726078,0.33687535
2012-06-04 21:25:00,0.26747954,0.36642793,0.36609253
2012-06-04 21:30:00,0.2571363,0.5393933,0.20347041
2012-06-04 21:35:00,0.29976326,0.35051998,0.3497167
2012-06-04 21:40:00,0.15552285,0.42260355,0.42187363
2012-06-04 21:45:00,0.32877076,0.33570212,0.33552706
2012-06-04 21:50:00,0.31303668,0.34355593,0.3434074
2012-06-04 21:55:00,0.1633014,0.41837117,0.4183274
2012-06-04 22:00:00,0.3310868,0.33446676,0.33444646
2012-06-04 22:05:00,0.33240187,0.33382875,0.33376947
2012-06-04 22:10:00,0.33081633,0.334594,0.33458966
2012-06-04 22:15:00,0.33326313,0.33337536,0.3333615
2012-06-04 22:20:00,0.3329395,0.33354157,0.33351895
2012-06-04 22:25:00,0.3374463,0.33900446,0.32354924
2012-06-04 22:30:00,0.3324716,0.33378637,0.33374205
2012-06-04 22:35:00,0.34057352,0.3406634,0.31876308
2012-06-04 22:40:00,0.33147734,0.334465,0.33405766
2012-06-04 22:45:00,0.32639548,0.3375423,0.3360622
2012-06-04 22:50:00,0.33331603,0.33334336,0.3333407
2012-06-04 22:55:00,0.40129647,0.42117453,0.17752904
2012-06-04 23:00:00,0.35021907,0.351001,0.29877988
2012-06-04 23:05:00,0.19013426,0.40677655,0.4030892
2012-06-04 23:10:00,0.17668456,0.41168755,0.41162798
2012-06-04 23:15:00,0.25207126,0.4382045,0.30972427
2012-06-04 23:20:00,0.3326861,0.33389446,0.3334194
2012-06-04 23:25:00,0.24580364,0.38142067,0.3727757
2012-06-04 23:30:00,0.33097467,0.33464405,0.33438134
2012-06-04 23:35:00,0.33333066,0.33333495,0.3333344
2012-06-04 23:40:00,0.36625895,0.38677594,0.2469651
2012-06-04 23:45:00,0.33206797,0.33401534,0.33391678
2012-06-04 23:50:00,0.33334437,0.3333531,0.33330256
