name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Ventura Freeway,0,4252626,0,1,1,45.76,4,104,,motorway,1,"LINESTRING (-118.4735754 34.1647739, -118.4740328 34.1649345)",auto,0,0,,
Halbrent Avenue,1,13264427,2,3,1,303.63,,,,residential,6,"LINESTRING (-118.4651997 34.1648631, -118.4652007 34.1649692, -118.4652009 34.1649880, -118.4652027 34.1650612, -118.4652068 34.1651206, -118.4652233 34.1652677, -118.4652383 34.1653619, -118.4652609 34.1654473, -118.4652769 34.1655186, -118.4652819 34.1655894, -118.4652703 34.1656520, -118.4652383 34.1657236, -118.4651771 34.1657959, -118.4651290 34.1658350, -118.4650569 34.1658637, -118.4650016 34.1658778, -118.4649386 34.1658837, -118.4645192 34.1658981, -118.4642591 34.1658957, -118.4640091 34.1658796, -118.4639292 34.1658616, -118.4638761 34.1658242, -118.4638464 34.1657790, -118.4638346 34.1657324, -118.4638311 34.1656492, -118.4638212 34.1655853, -118.4637880 34.1655217, -118.4637063 34.1654454, -118.4636610 34.1654008, -118.4636320 34.1653564, -118.4636162 34.1653122, -118.4636065 34.1652734, -118.4636000 34.1652311)",auto,1,0,,
Halbrent Avenue,2,13264427,3,2,1,303.63,,,,residential,6,"LINESTRING (-118.4636000 34.1652311, -118.4636065 34.1652734, -118.4636162 34.1653122, -118.4636320 34.1653564, -118.4636610 34.1654008, -118.4637063 34.1654454, -118.4637880 34.1655217, -118.4638212 34.1655853, -118.4638311 34.1656492, -118.4638346 34.1657324, -118.4638464 34.1657790, -118.4638761 34.1658242, -118.4639292 34.1658616, -118.4640091 34.1658796, -118.4642591 34.1658957, -118.4645192 34.1658981, -118.4649386 34.1658837, -118.4650016 34.1658778, -118.4650569 34.1658637, -118.4651290 34.1658350, -118.4651771 34.1657959, -118.4652383 34.1657236, -118.4652703 34.1656520, -118.4652819 34.1655894, -118.4652769 34.1655186, -118.4652609 34.1654473, -118.4652383 34.1653619, -118.4652233 34.1652677, -118.4652068 34.1651206, -118.4652027 34.1650612, -118.4652009 34.1649880, -118.4652007 34.1649692, -118.4651997 34.1648631)",auto,1,0,,
,3,13271057,4,5,1,468.22,,,,motorway,1,"LINESTRING (-118.4739550 34.1640098, -118.4738686 34.1640611, -118.4737900 34.1641338, -118.4736594 34.1642787, -118.4732403 34.1647702, -118.4731944 34.1648563, -118.4731596 34.1649417, -118.4731457 34.1650428, -118.4731491 34.1651239, -118.4731624 34.1651949, -118.4731822 34.1652532, -118.4732257 34.1653367, -118.4733066 34.1654316, -118.4733826 34.1654963, -118.4734719 34.1655523, -118.4735798 34.1656007, -118.4736883 34.1656293, -118.4738000 34.1656392, -118.4739410 34.1656375, -118.4740739 34.1656141, -118.4743469 34.1655073, -118.4744891 34.1654638, -118.4746955 34.1654216, -118.4748956 34.1654009, -118.4750981 34.1654076, -118.4752081 34.1654152, -118.4756017 34.1654725, -118.4760338 34.1655130, -118.4762189 34.1654458)",auto,0,1,,
Camorilla Street,4,13284741,6,7,1,42.3,,,,residential,6,"LINESTRING (-118.4754709 34.1577973, -118.4754010 34.1577974, -118.4752590 34.1577976, -118.4751670 34.1577977, -118.4750120 34.1577979)",auto,1,0,,
Camorilla Street,5,13284741,7,6,1,42.3,,,,residential,6,"LINESTRING (-118.4750120 34.1577979, -118.4751670 34.1577977, -118.4752590 34.1577976, -118.4754010 34.1577974, -118.4754709 34.1577973)",auto,1,0,,
Woodley Park Lane,6,13288644,8,9,1,43.73,,,,residential,6,"LINESTRING (-118.4830630 34.1554117, -118.4835300 34.1554813)",auto,1,0,,
Woodley Park Lane,7,13288644,9,8,1,43.73,,,,residential,6,"LINESTRING (-118.4835300 34.1554813, -118.4830630 34.1554117)",auto,1,0,,
Woodley Park Lane,8,13288645,10,11,1,98.78,,,,residential,6,"LINESTRING (-118.4836375 34.1563792, -118.4836391 34.1562452, -118.4836387 34.1562090, -118.4836372 34.1560371, -118.4836323 34.1557292, -118.4836321 34.1556744, -118.4836246 34.1554885)",auto,1,0,,
Woodley Park Lane,9,13288645,11,10,1,98.78,,,,residential,6,"LINESTRING (-118.4836246 34.1554885, -118.4836321 34.1556744, -118.4836323 34.1557292, -118.4836372 34.1560371, -118.4836387 34.1562090, -118.4836391 34.1562452, -118.4836375 34.1563792)",auto,1,0,,
