name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,269577324,motorway_junction,,,,,,-118.4735754,34.1647739,,,
,1,702979635,,,,,,,-118.4740328,34.1649345,,,
,2,370438430,,,,,,,-118.4651997,34.1648631,,,
,3,,,,,,,,-118.4636,34.1652311,,,boundary node created by osm2gmns
,4,702979665,,,,,,,-118.473955,34.1640098,,,
,5,702979641,,,,,,,-118.4762189,34.1654458,,,
,6,122601845,,,,,,,-118.4754709,34.1577973,,,
,7,10822843870,,,,,,,-118.475012,34.1577979,,,
,8,122621881,,,,,,,-118.483063,34.1554117,,,
,9,9380423728,,,,,,,-118.48353,34.1554813,,,
,10,122621887,traffic_signals,,signal,,,,-118.4836375,34.1563792,,,
,11,786527237,,,,,,,-118.4836246,34.1554885,,,
,12,122621878,,,,,,,-118.4836257,34.155208,,,
,13,,,,,,,,-118.4836174,34.1539,,,boundary node created by osm2gmns
,14,122632953,,,,,,,-118.47267,34.1568406,,,
,15,269579584,turning_circle,,,,,,-118.4708097,34.1567597,,,
,16,122632974,,,,,,,-118.4749072,34.1570284,,,
,17,122632977,turning_circle,,,,,,-118.4760072,34.1571686,,,
,18,6424916565,,,,,,,-118.473678,34.156181,,,
,19,11010923915,,,,,,,-118.4736795,34.1577824,,,
,20,122650895,stop,,,,,,-118.4737709,34.1603246,,,
,21,269579409,,,,,,,-118.4738086,34.1621448,,,
,22,,,,,,,,-118.4636,34.1576028,,,boundary node created by osm2gmns
,23,122864189,stop,,,,,,-118.463981,34.157601,,,
,24,122864192,stop,,,,,,-118.4649447,34.1576041,,,
,25,370441061,,,,,,,-118.4659221,34.1575953,,,
,26,122864195,traffic_signals,,signal,,,,-118.4661728,34.1575955,,,
,27,563313826,,,,,,,-118.4683647,34.1575961,,,
,28,11012502530,,,,,,,-118.4684183,34.1575965,,,
,29,122864266,,,,,,,-118.4696845,34.1576114,,,
,30,122864267,,,,,,,-118.4726692,34.1575992,,,
,31,4818881399,,,,,,,-118.4671946,34.1757827,,,
,32,122889318,turning_circle,,,,,,-118.4673056,34.1763956,,,
,33,122889833,,,,,,,-118.4700673,34.159412,,,
,34,269579529,,,,,,,-118.473909,34.1594192,,,
,35,122889840,,,,,,,-118.4749125,34.1593652,,,
,36,122937064,,,,,,,-118.4726671,34.1560792,,,
,37,122937061,,,,,,,-118.4721593,34.1559958,,,
,38,,,,,,,,-118.4636,34.1543736,,,boundary node created by osm2gmns
,39,122937088,stop,,,,,,-118.4638398,34.1544152,,,
,40,122937091,stop,,,,,,-118.4649013,34.1545879,,,
,41,269579856,,,,,,,-118.4696962,34.1556973,,,
,42,269580041,turning_circle,,,,,,-118.4710651,34.1559205,,,
,43,122937111,,,,,,,-118.4770946,34.1567162,,,
,44,122937113,,,,,,,-118.4792703,34.1568503,,,
,45,122937190,,,,,,,-118.4814586,34.1573979,,,
,46,122937193,,,,,,,-118.4824059,34.1575119,,,
,47,122947203,,,,,,,-118.4756784,34.1539636,,,
,48,,,,,,,,-118.4749696,34.1539,,,boundary node created by osm2gmns
,49,,,,,,,,-118.4844,34.1553044,,,boundary node created by osm2gmns
,50,122947225,,,,,,,-118.4784341,34.1543202,,,
,51,122947227,,,,,,,-118.4792563,34.1544307,,,
,52,122947229,,,,,,,-118.4814559,34.1547289,,,
,53,5631792256,,,,,,,-118.481837,34.1547781,,,
,54,122947231,,,,,,,-118.4823973,34.154793,,,
,55,122947426,,,,,,,-118.4749146,34.1616885,,,
,56,122947429,,,,,,,-118.4770936,34.1617057,,,
,57,,,,,,,,-118.4636,34.1639528,,,boundary node created by osm2gmns
,58,122980137,,,,,,,-118.4639879,34.1639528,,,
,59,122980140,,,,,,,-118.4661756,34.1639494,,,
,60,122852578,traffic_signals,,signal,,,,-118.4814537,34.1560774,,,
,61,123070658,stop,,,,,,-118.4814585,34.1608991,,,
,62,123070661,,,,,,,-118.481446,34.1648591,,,
,63,,,,,,,,-118.4721161,34.1539,,,boundary node created by osm2gmns
,64,2000789959,,,,,,,-118.4720888,34.1548015,,,
,65,269580191,traffic_signals,,signal,,,,-118.472686,34.1548855,,,
,66,269579566,,,,,,,-118.4726711,34.1585122,,,
,67,369786010,,,,,,,-118.4720765,34.1621194,,,
,68,123080128,stop,,,,,,-118.4714366,34.1602873,,,
,69,269571216,,,,,,,-118.4699976,34.1544521,,,
,70,123108698,,,,,,,-118.4698803,34.1585077,,,
,71,123108701,,,,,,,-118.4707036,34.160244,,,
,72,123111470,stop,,,,,,-118.4749146,34.1607884,,,
,73,123111472,,,,,,,-118.4770958,34.1607916,,,
,74,123111498,stop,,,,,,-118.474917,34.1603294,,,
,75,123111520,,,,,,,-118.4836398,34.1603771,,,
,76,,,,,,,,-118.4844,34.1603766,,,boundary node created by osm2gmns
,77,123111534,,,,,,,-118.4792774,34.1608914,,,
,78,123111537,,,,,,,-118.4803657,34.1608952,,,
,79,123179018,,,,,,,-118.4749078,34.1584543,,,
,80,123179021,,,,,,,-118.4760032,34.1584584,,,
,81,123179064,,,,,,,-118.4792759,34.1585624,,,
,82,123179068,,,,,,,-118.4802834,34.158546,,,
,83,,,,,,,,-118.4636,34.158511,,,boundary node created by osm2gmns
,84,123179184,stop,,,,,,-118.4639941,34.1585115,,,
,85,123036221,,,,,,,-118.4661728,34.1585059,,,
,86,,,,,,,,-118.4636,34.162136,,,boundary node created by osm2gmns
,87,123256340,,,,,,,-118.4639877,34.1621351,,,
,88,123036251,,,,,,,-118.4661786,34.1621385,,,
,89,123256392,,,,,,,-118.4749175,34.1626097,,,
,90,123256394,,,,,,,-118.4770973,34.1626262,,,
,91,123256397,,,,,,,-118.4749175,34.1621448,,,
,92,123281867,,,,,,,-118.4640054,34.1730544,,,
,93,122815644,stop,,,,,,-118.4640077,34.1757459,,,
,94,,,,,,,,-118.4639177,34.1767,,,boundary node created by osm2gmns
,95,123281885,stop,,,,,,-118.4640053,34.1684896,,,
,96,123281888,,,,,,,-118.4639804,34.1711196,,,
,97,123281916,,,,,,,-118.4639966,34.1610941,,,
,98,123111476,stop,,,,,,-118.4639959,34.1603301,,,
,99,123281915,,,,,,,-118.4639953,34.1599079,,,
,100,123281952,stop,,,,,,-118.4639968,34.161546,,,
,101,123281954,stop,,,,,,-118.4639965,34.1630467,,,
,102,123281956,,,,,,,-118.4639934,34.1648589,,,
,103,123281996,,,,,,,-118.4639868,34.1589849,,,
,104,,,,,,,,-118.4636,34.1684903,,,boundary node created by osm2gmns
,105,123365058,,,,,,,-118.4648568,34.1684881,,,
,106,370672778,,,,,,,-118.4659262,34.1684816,,,
,107,123036266,traffic_signals,,signal,,,,-118.4661781,34.1684827,,,
