name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,0,4218769,0,1,1,431.62,3,,,motorway,1,"LINESTRING (-118.3710000 34.1530705, -118.3715521 34.1530512, -118.3719212 34.1530583, -118.3723160 34.1530796, -118.3726936 34.1531009, -118.3729855 34.1531222, -118.3733288 34.1531648, -118.3737236 34.1532216, -118.3740669 34.1532927, -118.3744103 34.1533850, -118.3747107 34.1534845, -118.3749939 34.1535910, -118.3755241 34.1538185)",auto,0,1,,
,1,13255021,2,3,1,34.25,,,,motorway,1,"LINESTRING (-118.3794734 34.1541103, -118.3791549 34.1539513)",auto,0,1,,
,2,13263312,4,5,1,133.36,1,,,motorway,1,"LINESTRING (-118.3729630 34.1486961, -118.3726210 34.1483063, -118.3720775 34.1478708, -118.3720056 34.1478000)",auto,0,1,,
,3,13271237,6,7,1,19.74,1,,,motorway,1,"LINESTRING (-118.3789820 34.1586789, -118.3790465 34.1587686, -118.3791210 34.1588083)",auto,0,1,,
,4,13274474,8,9,1,332.08,1,,,motorway,1,"LINESTRING (-118.3811789 34.1611417, -118.3811079 34.1607839, -118.3807567 34.1599302, -118.3805487 34.1593472, -118.3804261 34.1589566, -118.3803309 34.1585794, -118.3802100 34.1582621)",auto,0,1,,
,5,13277214,10,11,1,134.78,,104,,motorway,1,"LINESTRING (-118.3797148 34.1548455, -118.3801802 34.1547787, -118.3806262 34.1547445, -118.3811675 34.1547226)",auto,0,1,,
,6,13277214,11,12,1,185.99,,104,,motorway,1,"LINESTRING (-118.3811675 34.1547226, -118.3826619 34.1546623, -118.3831713 34.1545692)",auto,0,1,,
Bellflower Avenue,7,13290831,13,14,1,116.96,,,,residential,6,"LINESTRING (-118.3734458 34.1534660, -118.3734586 34.1545208)",auto,1,0,,
Bellflower Avenue,8,13290831,14,13,1,116.96,,,,residential,6,"LINESTRING (-118.3734586 34.1545208, -118.3734458 34.1534660)",auto,1,0,,
Bellflower Avenue,9,13290831,14,15,1,115.81,,,,residential,6,"LINESTRING (-118.3734586 34.1545208, -118.3734656 34.1555652)",auto,1,0,,
Bellflower Avenue,10,13290831,15,14,1,115.81,,,,residential,6,"LINESTRING (-118.3734656 34.1555652, -118.3734586 34.1545208)",auto,1,0,,
Bellflower Avenue,11,13290831,15,16,1,115.55,,,,residential,6,"LINESTRING (-118.3734656 34.1555652, -118.3734684 34.1566073)",auto,1,0,,
Bellflower Avenue,12,13290831,16,15,1,115.55,,,,residential,6,"LINESTRING (-118.3734684 34.1566073, -118.3734656 34.1555652)",auto,1,0,,
Bellflower Avenue,13,13290831,16,17,1,115.44,,,,residential,6,"LINESTRING (-118.3734684 34.1566073, -118.3734648 34.1576484)",auto,1,0,,
Bellflower Avenue,14,13290831,17,16,1,115.44,,,,residential,6,"LINESTRING (-118.3734648 34.1576484, -118.3734684 34.1566073)",auto,1,0,,
Bellflower Avenue,15,13290834,18,19,1,111.98,,,,residential,6,"LINESTRING (-118.3734424 34.1503770, -118.3734467 34.1504856, -118.3734470 34.1504932, -118.3734390 34.1513868)",auto,1,0,,
Bellflower Avenue,16,13290834,19,18,1,111.98,,,,residential,6,"LINESTRING (-118.3734390 34.1513868, -118.3734470 34.1504932, -118.3734467 34.1504856, -118.3734424 34.1503770)",auto,1,0,,
Bellflower Avenue,17,13290834,19,20,1,69.48,,,,residential,6,"LINESTRING (-118.3734390 34.1513868, -118.3734396 34.1518311, -118.3734502 34.1518954, -118.3734722 34.1519544, -118.3735020 34.1520042)",auto,1,0,,
Bellflower Avenue,18,13290834,20,19,1,69.48,,,,residential,6,"LINESTRING (-118.3735020 34.1520042, -118.3734722 34.1519544, -118.3734502 34.1518954, -118.3734396 34.1518311, -118.3734390 34.1513868)",auto,1,0,,
Bellflower Avenue,19,13290836,21,22,1,44.72,,,,residential,6,"LINESTRING (-118.3745815 34.1587328, -118.3745827 34.1591361)",auto,1,0,,
Bellflower Avenue,20,13290836,22,21,1,44.72,,,,residential,6,"LINESTRING (-118.3745827 34.1591361, -118.3745815 34.1587328)",auto,1,0,,
Bellflower Avenue,21,13290836,22,23,1,71.31,,,,residential,6,"LINESTRING (-118.3745827 34.1591361, -118.3745790 34.1597792)",auto,1,0,,
Bellflower Avenue,22,13290836,23,22,1,71.31,,,,residential,6,"LINESTRING (-118.3745790 34.1597792, -118.3745827 34.1591361)",auto,1,0,,
Rye Street,23,13295872,24,25,1,93.97,,,,residential,6,"LINESTRING (-118.3759010 34.1512476, -118.3768290 34.1512498, -118.3769204 34.1512500)",auto,1,0,,
Rye Street,24,13295872,25,24,1,93.97,,,,residential,6,"LINESTRING (-118.3769204 34.1512500, -118.3768290 34.1512498, -118.3759010 34.1512476)",auto,1,0,,
Kraft Avenue,25,13306493,26,27,1,303.21,,,,residential,6,"LINESTRING (-118.3801304 34.1549358, -118.3801141 34.1549740, -118.3801045 34.1572043, -118.3801085 34.1574761, -118.3801091 34.1575130, -118.3801237 34.1576675)",auto,1,0,,
Kraft Avenue,26,13306493,27,26,1,303.21,,,,residential,6,"LINESTRING (-118.3801237 34.1576675, -118.3801091 34.1575130, -118.3801085 34.1574761, -118.3801045 34.1572043, -118.3801141 34.1549740, -118.3801304 34.1549358)",auto,1,0,,
Kraft Avenue,27,13306495,28,29,1,85.25,,,,residential,6,"LINESTRING (-118.3800861 34.1478000, -118.3800833 34.1485689)",auto,1,0,,
Kraft Avenue,28,13306495,29,28,1,85.25,,,,residential,6,"LINESTRING (-118.3800833 34.1485689, -118.3800861 34.1478000)",auto,1,0,,
Kraft Avenue,29,13306495,29,30,1,201.05,,,,residential,6,"LINESTRING (-118.3800833 34.1485689, -118.3800862 34.1499013, -118.3800852 34.1502684, -118.3800856 34.1503821)",auto,1,0,,
Kraft Avenue,30,13306495,30,29,1,201.05,,,,residential,6,"LINESTRING (-118.3800856 34.1503821, -118.3800852 34.1502684, -118.3800862 34.1499013, -118.3800833 34.1485689)",auto,1,0,,
Kraft Avenue,31,13306495,30,31,1,202.24,,,,residential,6,"LINESTRING (-118.3800856 34.1503821, -118.3800850 34.1504975, -118.3800852 34.1507135, -118.3800850 34.1508772, -118.3801009 34.1522060)",auto,1,0,,
Kraft Avenue,32,13306495,31,30,1,202.24,,,,residential,6,"LINESTRING (-118.3801009 34.1522060, -118.3800850 34.1508772, -118.3800852 34.1507135, -118.3800850 34.1504975, -118.3800856 34.1503821)",auto,1,0,,
Kraft Avenue,33,13306495,31,32,1,195.98,,,,residential,6,"LINESTRING (-118.3801009 34.1522060, -118.3800819 34.1538884, -118.3800813 34.1539734)",auto,1,0,,
Kraft Avenue,34,13306495,32,31,1,195.98,,,,residential,6,"LINESTRING (-118.3800813 34.1539734, -118.3800819 34.1538884, -118.3801009 34.1522060)",auto,1,0,,
Huston Street,35,13331996,33,34,1,152.54,,,,residential,6,"LINESTRING (-118.3757461 34.1599327, -118.3763107 34.1599340, -118.3768430 34.1599379, -118.3774010 34.1599367)",auto,1,0,,
Huston Street,36,13331996,34,33,1,152.54,,,,residential,6,"LINESTRING (-118.3774010 34.1599367, -118.3768430 34.1599379, -118.3763107 34.1599340, -118.3757461 34.1599327)",auto,1,0,,
Huston Street,37,13331996,34,35,1,148.51,,,,residential,6,"LINESTRING (-118.3774010 34.1599367, -118.3783900 34.1599379, -118.3790122 34.1599333)",auto,1,0,,
Huston Street,38,13331996,35,34,1,148.51,,,,residential,6,"LINESTRING (-118.3790122 34.1599333, -118.3783900 34.1599379, -118.3774010 34.1599367)",auto,1,0,,
Huston Street,39,13332009,36,37,1,229.04,,,,residential,6,"LINESTRING (-118.3809016 34.1595315, -118.3809936 34.1595197, -118.3832946 34.1595149, -118.3833854 34.1595147)",auto,1,0,,
