name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,,,,,,,,-118.371,34.1530705,,,boundary node created by osm2gmns
,1,299528910,,,,,,,-118.3755241,34.1538185,,,
,2,1371866055,motorway_junction,,,,,,-118.3794734,34.1541103,,,
,3,1529551145,,,,,,,-118.3791549,34.1539513,,,
,4,6354846118,motorway_junction,,,,,,-118.372963,34.1486961,,,
,5,,,,,,,,-118.3720056,34.1478,,,boundary node created by osm2gmns
,6,122499393,,,,,,,-118.378982,34.1586789,,,
,7,122499396,,,,,,,-118.379121,34.1588083,,,
,8,122520856,motorway_junction,,,,,,-118.3811789,34.1611417,,,
,9,9147658226,,,,,,,-118.38021,34.1582621,,,
,10,299530275,,,,,,,-118.3797148,34.1548455,,,
,11,7391589119,traffic_signals,,signal,,,,-118.3811675,34.1547226,,,
,12,6354846133,,,,,,,-118.3831713,34.1545692,,,
,13,122634436,,,,,,,-118.3734458,34.153466,,,
,14,122634438,stop,,,,,,-118.3734586,34.1545208,,,
,15,122634440,,,,,,,-118.3734656,34.1555652,,,
,16,122634442,,,,,,,-118.3734684,34.1566073,,,
,17,122634445,,,,,,,-118.3734648,34.1576484,,,
,18,122634454,,,,,,,-118.3734424,34.150377,,,
,19,122634456,,,,,,,-118.373439,34.1513868,,,
,20,457700340,turning_circle,,,,,,-118.373502,34.1520042,,,
,21,122634474,,,,,,,-118.3745815,34.1587328,,,
,22,122634476,,,,,,,-118.3745827,34.1591361,,,
,23,122634478,,,,,,,-118.374579,34.1597792,,,
,24,122669903,,,,,,,-118.375901,34.1512476,,,
,25,122669904,,,,,,,-118.3769204,34.15125,,,
,26,122739345,,,,,,,-118.3801304,34.1549358,,,
,27,122520868,traffic_signals,,signal,,,,-118.3801237,34.1576675,,,
,28,,,,,,,,-118.3800861,34.1478,,,boundary node created by osm2gmns
,29,122739360,stop,,,,,,-118.3800833,34.1485689,,,
,30,122739363,,,,,,,-118.3800856,34.1503821,,,
,31,122739367,,,,,,,-118.3801009,34.152206,,,
,32,122739369,,,,,,,-118.3800813,34.1539734,,,
,33,122889758,,,,,,,-118.3757461,34.1599327,,,
,34,122889761,,,,,,,-118.377401,34.1599367,,,
,35,122889763,,,,,,,-118.3790122,34.1599333,,,
