name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,26511843,,,,,,,-118.2235745,34.1526513,,,
,1,,,,,,,,-118.2217,34.1526233,,,boundary node created by osm2gmns
,2,1840738143,,,,,,,-118.223961,34.1402646,,,
,3,,,,,,,,-118.2239601,34.1401,,,boundary node created by osm2gmns
,4,11199772379,,,,,,,-118.2259896,34.142866,,,
,5,363847486,turning_circle,,,,,,-118.2260085,34.1436134,,,
,6,1783179341,,,,,,,-118.2322237,34.1461681,,,
,7,1783179378,traffic_signals,,signal,,,,-118.2323364,34.1480575,,,
,8,,,,,,,,-118.2235653,34.1528,,,boundary node created by osm2gmns
,9,5476884980,,,,,,,-118.2236326,34.1518301,,,
,10,361523312,,,,,,,-118.2244841,34.1498107,,,
,11,361530537,motorway_junction,,,,,,-118.2314107,34.1483376,,,
,12,361528924,,,,,,,-118.2310193,34.14815,,,
,13,598384096,,,,,,,-118.224786,34.152508,,,
,14,361523502,,,,,,,-118.2250082,34.1519616,,,
,15,361523515,stop,,,,,,-118.224848,34.1498901,,,
,16,361523505,,,,,,,-118.2245342,34.1518175,,,
,17,598382077,motorway_junction,,,,,,-118.226064,34.1469944,,,
,18,361523518,,,,,,,-118.2251819,34.1489749,,,
,19,361528632,,,,,,,-118.2257926,34.1501661,,,
,20,1920629319,,,,,,,-118.2259064,34.1494468,,,
,21,361529150,,,,,,,-118.228844,34.1466505,,,
,22,363845026,,,,,,,-118.2275801,34.1456941,,,
,23,363844293,,,,,,,-118.2258378,34.145957,,,
,24,361523551,,,,,,,-118.2279146,34.1424367,,,
,25,,,,,,,,-118.2217,34.1460587,,,boundary node created by osm2gmns
,26,361523349,,,,,,,-118.2245246,34.1496303,,,
,27,361523254,motorway_junction,,,,,,-118.227211,34.1430516,,,
,28,361523600,,,,,,,-118.2267692,34.1442112,,,
,29,4076843550,,,,,,,-118.22896,34.1482296,,,
,30,361524021,,,,,,,-118.2322303,34.1496437,,,
,31,361523787,motorway_junction,,,,,,-118.2322278,34.149256,,,
,32,361523921,,,,,,,-118.2299902,34.1477431,,,
,33,361524115,motorway_junction,,,,,,-118.228,34.1402732,,,
,34,361524060,,,,,,,-118.227151,34.1424478,,,
,35,14854775,traffic_signals,,signal,,,,-118.2281123,34.1427674,,,
,36,361524110,,,,,,,-118.2284298,34.141297,,,
,37,,,,,,,,-118.2250313,34.1528,,,boundary node created by osm2gmns
,38,361523475,motorway_junction,,,,,,-118.2250488,34.1527549,,,
,39,361523361,,,,,,,-118.2241362,34.1523461,,,
,40,,,,,,,,-118.2240519,34.1528,,,boundary node created by osm2gmns
,41,361523388,,,,,,,-118.2242764,34.1516058,,,
,42,598384098,,,,,,,-118.2243896,34.1523857,,,
,43,361523247,,,,,,,-118.224655,34.1518558,,,
,44,361523246,,,,,,,-118.2244957,34.1524197,,,
,45,1920629321,,,,,,,-118.2254834,34.1508546,,,
,46,3932236479,,,,,,,-118.2251181,34.1525756,,,
,47,361528403,,,,,,,-118.2253965,34.1520688,,,
,48,5427381593,,,,,,,-118.2262181,34.1504061,,,
,49,3932236480,,,,,,,-118.2251383,34.1525849,,,
,50,361523431,,,,,,,-118.2253173,34.1520446,,,
,51,5427381594,,,,,,,-118.2259507,34.1503278,,,
,52,361523327,,,,,,,-118.2259016,34.1501996,,,
,53,361523325,,,,,,,-118.2256564,34.1501241,,,
,54,361523322,,,,,,,-118.2249705,34.1499268,,,
,55,361528728,,,,,,,-118.226532,34.1503837,,,
,56,15376511,traffic_signals,,signal,,,,-118.2267359,34.1504791,,,
,57,689574850,,,,,,,-118.2244615,34.1506858,,,
,58,689574882,,,,,,,-118.2249621,34.1490623,,,
,59,361523543,,,,,,,-118.2311623,34.1481596,,,
,60,9660508749,,,,,,,-118.2302411,34.1475601,,,
,61,361523797,,,,,,,-118.2286115,34.1474803,,,
,62,361523803,,,,,,,-118.2266652,34.1467412,,,
,63,361523795,,,,,,,-118.2291218,34.1476974,,,
,64,361523743,,,,,,,-118.2285029,34.1476747,,,
,65,361523740,,,,,,,-118.2289612,34.1478662,,,
,66,361523734,,,,,,,-118.2317344,34.1492284,,,
,67,361523732,,,,,,,-118.2322575,34.1495263,,,
,68,361523704,,,,,,,-118.2275453,34.1476122,,,
,69,361529362,,,,,,,-118.2287573,34.1480061,,,
,70,361523698,,,,,,,-118.2256173,34.1469767,,,
,71,361523700,,,,,,,-118.2265099,34.1472679,,,
,72,363840285,motorway_junction,,,,,,-118.2248869,34.1464056,,,
,73,361523885,,,,,,,-118.2256807,34.1467259,,,
,74,361523882,,,,,,,-118.2265381,34.1470766,,,
,75,361523748,,,,,,,-118.2265778,34.1469477,,,
,76,363840294,,,,,,,-118.2256793,34.1466438,,,
,77,361523806,,,,,,,-118.2257225,34.146435,,,
,78,361523808,,,,,,,-118.2248245,34.1461698,,,
,79,361523905,,,,,,,-118.2257313,34.1462572,,,
,80,361523908,,,,,,,-118.2250697,34.1461018,,,
,81,361523902,,,,,,,-118.2266758,34.146489,,,
,82,361523442,,,,,,,-118.226652,34.147526,,,
,83,361523450,,,,,,,-118.2252694,34.1459041,,,
,84,361523486,,,,,,,-118.2277567,34.1489069,,,
,85,3932229444,,,,,,,-118.2281536,34.1487661,,,
,86,361523546,,,,,,,-118.2328537,34.1492962,,,
,87,,,,,,,,-118.2341,34.1502274,,,boundary node created by osm2gmns
,88,361523784,,,,,,,-118.2326874,34.1495355,,,
,89,361523729,,,,,,,-118.2327128,34.1498058,,,
,90,361523726,,,,,,,-118.2336735,34.1504116,,,
,91,361523496,,,,,,,-118.2322495,34.1498329,,,
,92,361523497,,,,,,,-118.2327196,34.150083,,,
,93,,,,,,,,-118.2341,34.1509105,,,boundary node created by osm2gmns
,94,,,,,,,,-118.2341,34.1504355,,,boundary node created by osm2gmns
,95,8992853283,,,,,,,-118.2233012,34.1454831,,,
,96,,,,,,,,-118.2217,34.1459309,,,boundary node created by osm2gmns
,97,363844385,,,,,,,-118.2241297,34.1462979,,,
,98,363844456,,,,,,,-118.2254086,34.1461061,,,
,99,361524116,,,,,,,-118.2282649,34.1403487,,,
,100,361523532,,,,,,,-118.2272625,34.1444865,,,
,101,361523530,,,,,,,-118.2275077,34.1431712,,,
,102,361523255,,,,,,,-118.2273741,34.1424975,,,
,103,361523251,,,,,,,-118.2268501,34.1442791,,,
,104,363845312,,,,,,,-118.2276917,34.1424762,,,
,105,361523293,,,,,,,-118.2278312,34.1418063,,,
,106,361524063,,,,,,,-118.2268528,34.143128,,,
,107,363847591,,,,,,,-118.2265587,34.1439182,,,
,108,,,,,,,,-118.2286428,34.1401,,,boundary node created by osm2gmns
,109,363847869,,,,,,,-118.226197,34.1444997,,,
,110,,,,,,,,-118.2217,34.1450361,,,boundary node created by osm2gmns
,111,3932233162,,,,,,,-118.2245717,34.1498127,,,
,112,383897184,,,,,,,-118.2261662,34.1497701,,,
,113,361523291,,,,,,,-118.2274342,34.1431582,,,
,114,361523292,,,,,,,-118.2276402,34.1424691,,,
,115,361523276,,,,,,,-118.2259849,34.1481328,,,
,116,361523277,,,,,,,-118.2262948,34.147043,,,
,117,361523282,,,,,,,-118.2269013,34.1449493,,,
,118,361523274,,,,,,,-118.2247211,34.1524886,,,
,119,361523275,,,,,,,-118.2248846,34.1519313,,,
,120,361523283,,,,,,,-118.2270508,34.1444177,,,
,121,598382076,,,,,,,-118.2265644,34.1446779,,,
,122,361523250,,,,,,,-118.2267055,34.1447856,,,
,123,,,,,,,,-118.2246616,34.1528,,,boundary node created by osm2gmns
,124,,,,,,,,-118.2243145,34.1528,,,boundary node created by osm2gmns
,125,361524025,,,,,,,-118.2327192,34.1498846,,,
,126,1614784342,,,,,,,-118.2328718,34.1415071,,,
,127,1614784346,,,,,,,-118.2328744,34.1427505,,,
,128,5427381587,,,,,,,-118.2253222,34.1523548,,,
,129,5427381586,,,,,,,-118.2251555,34.1523026,,,
,130,1783179400,,,,,,,-118.228087,34.1455175,,,
,131,7223933584,,,,,,,-118.2262501,34.1441302,,,
,132,1783179405,,,,,,,-118.2256372,34.1436582,,,
,133,26263697,,,,,,,-118.2248679,34.1430729,,,
,134,363846896,traffic_signals,,signal,,,,-118.2243443,34.1427035,,,
,135,88391475,,,,,,,-118.2220011,34.1417232,,,
,136,,,,,,,,-118.2217,34.142224,,,boundary node created by osm2gmns
,137,5477030424,,,,,,,-118.2228484,34.1407417,,,
,138,1840738147,,,,,,,-118.2221303,34.1407043,,,
,139,,,,,,,,-118.2217,34.1405318,,,boundary node created by osm2gmns
,140,1783179358,,,,,,,-118.2256996,34.1437061,,,
,141,1783179397,turning_circle,,,,,,-118.2250992,34.1447537,,,
,142,1783179415,,,,,,,-118.2237762,34.1447389,,,
,143,26877581,,,,,,,-118.2229044,34.1443771,,,
,144,1686591012,,,,,,,-118.221931,34.1439731,,,
,145,,,,,,,,-118.2217,34.1438772,,,boundary node created by osm2gmns
,146,1783179392,,,,,,,-118.2334139,34.1480481,,,
,147,1787920549,,,,,,,-118.2334192,34.1471722,,,
,148,1783179343,,,,,,,-118.2333969,34.1461709,,,
,149,363846887,,,,,,,-118.224928,34.1427674,,,
,150,6728939469,,,,,,,-118.2280917,34.1443548,,,
,151,4077018500,,,,,,,-118.2281029,34.1434461,,,
,152,1783179440,,,,,,,-118.2295169,34.1461425,,,
,153,26263690,,,,,,,-118.2295072,34.1444184,,,
,154,2903574503,,,,,,,-118.230298,34.1461786,,,
,155,6474391751,,,,,,,-118.2297847,34.1461494,,,
,156,25904013,traffic_signals,,signal,,,,-118.2229453,34.142121,,,
,157,,,,,,,,-118.2217,34.1443602,,,boundary node created by osm2gmns
,158,15338403,traffic_signals,,signal,,,,-118.2265244,34.1427674,,,
,159,4077016317,,,,,,,-118.226288,34.1433899,,,
,160,4047695765,,,,,,,-118.2228489,34.1411872,,,
,161,,,,,,,,-118.2341,34.1490517,,,boundary node created by osm2gmns
,162,1788009432,,,,,,,-118.2324514,34.1490421,,,
,163,1783179402,turning_circle,,,,,,-118.2227612,34.1446714,,,
,164,26877582,,,,,,,-118.224001,34.1425529,,,
,165,114095345,,,,,,,-118.2337389,34.141504,,,
,166,1785250120,,,,,,,-118.2318732,34.1415162,,,
,167,1853531963,,,,,,,-118.2294979,34.141528,,,
,168,1785250225,,,,,,,-118.2310181,34.1436084,,,
,169,1785250301,,,,,,,-118.2296998,34.1436028,,,
,170,1785250131,,,,,,,-118.2304857,34.1443807,,,
,171,1994911245,,,,,,,-118.2310234,34.1443503,,,
,172,32283448,,,,,,,-118.2318656,34.142747,,,
,173,26263682,traffic_signals,,signal,,,,-118.231036,34.1427563,,,
,174,1853531961,stop,,,,,,-118.2295059,34.1402686,,,
,175,1785250337,,,,,,,-118.2301894,34.1402742,,,
,176,114095356,,,,,,,-118.2335726,34.1402697,,,
,177,2903574504,,,,,,,-118.2305153,34.1461653,,,
,178,,,,,,,,-118.2341,34.1471692,,,boundary node created by osm2gmns
,179,1790363998,turning_circle,,,,,,-118.2335376,34.150936,,,
,180,1790363984,,,,,,,-118.2324995,34.1504407,,,
,181,1790364076,,,,,,,-118.2260835,34.152595,,,
,182,1790364095,,,,,,,-118.2263315,34.1526719,,,
,183,,,,,,,,-118.2267523,34.1528,,,boundary node created by osm2gmns
,184,4076999642,,,,,,,-118.2282474,34.1484362,,,
,185,21590087,traffic_signals,,signal,,,,-118.2285381,34.1480471,,,
,186,6810568403,traffic_signals,,signal,,,,-118.2291345,34.1472579,,,
,187,1790364020,,,,,,,-118.2262058,34.1518284,,,
,188,,,,,,,,-118.2263271,34.1528,,,boundary node created by osm2gmns
,189,1790364007,,,,,,,-118.2282089,34.1513323,,,
,190,1790364063,,,,,,,-118.2283709,34.1522755,,,
,191,,,,,,,,-118.2282198,34.1528,,,boundary node created by osm2gmns
,192,5427381577,,,,,,,-118.2262699,34.1516394,,,
,193,1790363980,,,,,,,-118.2324926,34.1500065,,,
,194,1790364037,,,,,,,-118.232554,34.151961,,,
,195,1790363960,,,,,,,-118.2293104,34.1489468,,,
,196,3932230374,,,,,,,-118.2280649,34.1488715,,,
,197,1840738145,,,,,,,-118.2228587,34.1404024,,,
,198,1840738144,,,,,,,-118.2229153,34.1402654,,,
,199,,,,,,,,-118.222983,34.1401,,,boundary node created by osm2gmns
,200,,,,,,,,-118.2221311,34.1401,,,boundary node created by osm2gmns
,201,,,,,,,,-118.2295569,34.1401,,,boundary node created by osm2gmns
,202,1785250328,,,,,,,-118.2295023,34.1427649,,,
,203,,,,,,,,-118.2301955,34.1401,,,boundary node created by osm2gmns
,204,7645420940,,,,,,,-118.2307844,34.1427557,,,
,205,,,,,,,,-118.2259513,34.1401,,,boundary node created by osm2gmns
,206,1931755580,,,,,,,-118.2259451,34.1402631,,,
,207,,,,,,,,-118.2274767,34.1401,,,boundary node created by osm2gmns
,208,363846729,,,,,,,-118.2274222,34.1402189,,,
,209,,,,,,,,-118.2278081,34.1401,,,boundary node created by osm2gmns
,210,8247903232,,,,,,,-118.2273057,34.1411971,,,
,211,1783179446,traffic_signals,,signal,,,,-118.2295799,34.1466468,,,
,212,4077074971,,,,,,,-118.2300722,34.1470159,,,
,213,4077074972,,,,,,,-118.23195,34.1480453,,,
,214,361523813,,,,,,,-118.2218027,34.14546,,,
,215,,,,,,,,-118.2217,34.1454432,,,boundary node created by osm2gmns
