name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Chavez Ravine Place,0,8585806,0,1,1,56.98,,,,unclassified,15,"LINESTRING (-118.2424425 34.0662000, -118.2427522 34.0660932, -118.2428202 34.0660488, -118.2428588 34.0659821, -118.2428991 34.0658997)",auto,1,0,,
Chavez Ravine Place,1,8585806,1,0,1,56.98,,,,unclassified,15,"LINESTRING (-118.2428991 34.0658997, -118.2428588 34.0659821, -118.2428202 34.0660488, -118.2427522 34.0660932, -118.2424425 34.0662000)",auto,1,0,,
Beaudry Avenue,2,8585809,2,3,1,48.64,1,,,tertiary,5,"LINESTRING (-118.2475947 34.0661965, -118.2475778 34.0661155, -118.2475717 34.0660344, -118.2475765 34.0659464, -118.2475974 34.0658517, -118.2476285 34.0657646)",auto,1,0,,
Beaudry Avenue,3,8585809,3,2,1,48.64,1,,,tertiary,5,"LINESTRING (-118.2476285 34.0657646, -118.2475974 34.0658517, -118.2475765 34.0659464, -118.2475717 34.0660344, -118.2475778 34.0661155, -118.2475947 34.0661965)",auto,1,0,,
Beaudry Avenue,4,8585809,3,4,1,73.73,1,,,tertiary,5,"LINESTRING (-118.2476285 34.0657646, -118.2476922 34.0656720, -118.2477667 34.0655928, -118.2478674 34.0655153, -118.2479761 34.0654555, -118.2481212 34.0654062, -118.2482440 34.0653838)",auto,1,0,,
Beaudry Avenue,5,8585809,4,3,1,73.73,1,,,tertiary,5,"LINESTRING (-118.2482440 34.0653838, -118.2481212 34.0654062, -118.2479761 34.0654555, -118.2478674 34.0655153, -118.2477667 34.0655928, -118.2476922 34.0656720, -118.2476285 34.0657646)",auto,1,0,,
Beaudry Avenue,6,8585809,4,5,1,60.45,1,,,tertiary,5,"LINESTRING (-118.2482440 34.0653838, -118.2483646 34.0653720, -118.2484968 34.0653771, -118.2486205 34.0653980, -118.2488845 34.0654624)",auto,1,0,,
Beaudry Avenue,7,8585809,5,4,1,60.45,1,,,tertiary,5,"LINESTRING (-118.2488845 34.0654624, -118.2486205 34.0653980, -118.2484968 34.0653771, -118.2483646 34.0653720, -118.2482440 34.0653838)",auto,1,0,,
North Los Angeles Street,8,9170922,6,7,1,34.64,1,,,secondary,4,"LINESTRING (-118.2382783 34.0563270, -118.2382570 34.0563500, -118.2382137 34.0563798, -118.2381692 34.0563985, -118.2381170 34.0564029, -118.2380740 34.0563996, -118.2380221 34.0563818, -118.2379520 34.0563454)",auto,0,0,,
North Los Angeles Street,9,9170924,8,9,1,100.12,1,,,secondary,4,"LINESTRING (-118.2374370 34.0564393, -118.2375974 34.0564493, -118.2377948 34.0564544, -118.2380309 34.0564808, -118.2380857 34.0564842, -118.2381404 34.0564799, -118.2381936 34.0564682, -118.2382436 34.0564493, -118.2382891 34.0564237, -118.2383446 34.0563761, -118.2384158 34.0562818)",auto,0,0,,
North Los Angeles Street,10,9170924,9,10,1,9.06,1,,,secondary,4,"LINESTRING (-118.2384158 34.0562818, -118.2384640 34.0562106)",auto,0,0,,
