name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,,,,,,,,-118.2424425,34.0662,,,boundary node created by osm2gmns
,1,1838396767,,,,,,,-118.2428991,34.0658997,,,
,2,250586508,,,,,,,-118.2475947,34.0661965,,,
,3,20400002,,,,,,,-118.2476285,34.0657646,,,
,4,1838389220,,,,,,,-118.248244,34.0653838,,,
,5,20400044,,,,,,,-118.2488845,34.0654624,,,
,6,10674404010,,,,,,,-118.2382783,34.056327,,,
,7,268539833,,,,,,,-118.237952,34.0563454,,,
,8,8869134196,,,,,,,-118.237437,34.0564393,,,
,9,4408522480,traffic_signals,,signal,,,,-118.2384158,34.0562818,,,
,10,4972318943,crossing,,,,,,-118.238464,34.0562106,,,
,11,268651387,,,,,,,-118.2410645,34.0592545,,,
,12,268651389,,,,,,,-118.241269,34.0589042,,,
,13,73909199,,,,,,,-118.2557601,34.0559788,,,
,14,288983244,,,,,,,-118.2562855,34.056296,,,
,15,122379523,,,,,,,-118.2545503,34.0620566,,,
,16,6908061419,,,,,,,-118.254818,34.0621445,,,
,17,122582045,,,,,,,-118.2365722,34.0657549,,,
,18,,,,,,,,-118.2376582,34.0662,,,boundary node created by osm2gmns
,19,5999772868,,,,,,,-118.2421012,34.0613562,,,
,20,122600013,,,,,,,-118.2424124,34.0614026,,,
,21,10127060984,,,,,,,-118.2371452,34.0595687,,,
,22,122600024,stop,,,,,,-118.23791,34.0598447,,,
,23,122824053,,,,,,,-118.2575635,34.0571442,,,
,24,122824062,turning_circle,,,,,,-118.257348,34.0584622,,,
,25,122834000,,,,,,,-118.2563967,34.0639308,,,
,26,122834002,,,,,,,-118.2558393,34.0648012,,,
,27,,,,,,,,-118.2549356,34.0662,,,boundary node created by osm2gmns
,28,122945271,,,,,,,-118.2463079,34.0660549,,,
,29,250586509,,,,,,,-118.2452101,34.0651804,,,
,30,122999186,,,,,,,-118.2539852,34.0628775,,,
,31,122999203,,,,,,,-118.2521434,34.0658348,,,
,32,,,,,,,,-118.2518237,34.0662,,,boundary node created by osm2gmns
,33,123008568,,,,,,,-118.2550225,34.0633305,,,
,34,123008570,,,,,,,-118.2554321,34.0635094,,,
,35,123008579,,,,,,,-118.256923,34.0641606,,,
,36,123008582,,,,,,,-118.2582475,34.0647391,,,
,37,,,,,,,,-118.2585,34.0648494,,,boundary node created by osm2gmns
,38,123070248,,,,,,,-118.2568357,34.0625488,,,
,39,122379531,,,,,,,-118.2565984,34.062913,,,
,40,10041207720,,,,,,,-118.2347023,34.0611376,,,
,41,,,,,,,,-118.2345,34.0613625,,,boundary node created by osm2gmns
,42,,,,,,,,-118.2475904,34.0662,,,boundary node created by osm2gmns
,43,123179874,,,,,,,-118.2572631,34.0594893,,,
,44,,,,,,,,-118.2585,34.0597163,,,boundary node created by osm2gmns
,45,122663619,,,,,,,-118.2520213,34.064058,,,
,46,123194412,,,,,,,-118.2515566,34.0644971,,,
,47,122977585,,,,,,,-118.2346243,34.062069,,,
,48,268373178,,,,,,,-118.235984,34.0626778,,,
,49,268653229,,,,,,,-118.2433679,34.0625915,,,
,50,123316444,,,,,,,-118.2444719,34.0625466,,,
,51,123268651,,,,,,,-118.2458455,34.0634586,,,
,52,268372657,traffic_signals,,signal,,,,-118.2368998,34.0589626,,,
,53,339135995,turning_circle,,,,,,-118.2352023,34.0596026,,,
,54,122975566,,,,,,,-118.2583989,34.0558431,,,
,55,,,,,,,,-118.2585,34.0558863,,,boundary node created by osm2gmns
,56,122663625,,,,,,,-118.2538765,34.0659261,,,
,57,122379528,,,,,,,-118.2555622,34.0624746,,,
,58,123405951,turning_circle,,,,,,-118.2524786,34.0600195,,,
,59,123172543,,,,,,,-118.2534037,34.0604049,,,
,60,123453238,turning_circle,,,,,,-118.2503419,34.0658396,,,
,61,,,,,,,,-118.2504545,34.0662,,,boundary node created by osm2gmns
,62,123459038,,,,,,,-118.2571683,34.0653936,,,
,63,123146330,,,,,,,-118.2426437,34.0598797,,,
,64,338941373,,,,,,,-118.2425384,34.0603797,,,
,65,122977485,,,,,,,-118.2567886,34.0605864,,,
