name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,0,4074679,0,1,1,99.08,3,,,motorway,1,"LINESTRING (-118.3155231 34.1005600, -118.3155739 34.1006771, -118.3156375 34.1008089, -118.3157017 34.1009354, -118.3159383 34.1013839)",auto,0,1,,
North Van Ness Avenue,1,4377289,2,3,1,118.28,,,,residential,6,"LINESTRING (-118.3158090 34.1016873, -118.3158118 34.1018345, -118.3158114 34.1023038, -118.3158130 34.1027540)",auto,1,0,,
North Van Ness Avenue,2,4377289,3,2,1,118.28,,,,residential,6,"LINESTRING (-118.3158130 34.1027540, -118.3158114 34.1023038, -118.3158118 34.1018345, -118.3158090 34.1016873)",auto,1,0,,
North Van Ness Avenue,3,4377289,3,4,1,278.98,,,,residential,6,"LINESTRING (-118.3158130 34.1027540, -118.3158153 34.1029880, -118.3158251 34.1039767, -118.3158268 34.1041581, -118.3158281 34.1042833, -118.3158379 34.1052700)",auto,1,0,,
North Van Ness Avenue,4,4377289,4,3,1,278.98,,,,residential,6,"LINESTRING (-118.3158379 34.1052700, -118.3158281 34.1042833, -118.3158268 34.1041581, -118.3158251 34.1039767, -118.3158153 34.1029880, -118.3158130 34.1027540)",auto,1,0,,
North Van Ness Avenue,5,4377289,4,5,1,36.59,,,,residential,6,"LINESTRING (-118.3158379 34.1052700, -118.3158381 34.1056000)",auto,1,0,,
North Van Ness Avenue,6,4377289,5,4,1,36.59,,,,residential,6,"LINESTRING (-118.3158381 34.1056000, -118.3158379 34.1052700)",auto,1,0,,
,7,13278226,6,7,1,180.79,,,,motorway,1,"LINESTRING (-118.3144213 34.0989774, -118.3143580 34.0990193, -118.3142932 34.0990497, -118.3142092 34.0990790, -118.3141320 34.0990944, -118.3140484 34.0990949, -118.3139787 34.0990841, -118.3139094 34.0990531, -118.3138647 34.0990133, -118.3138387 34.0989701, -118.3138195 34.0989161, -118.3138145 34.0988626, -118.3138108 34.0983821, -118.3138159 34.0983331, -118.3138308 34.0982937, -118.3138601 34.0982503, -118.3138993 34.0982078, -118.3139548 34.0981680, -118.3140134 34.0981369, -118.3141891 34.0980728)",auto,0,1,,
Cheremoya Avenue,8,13306345,8,9,1,38.26,,,,residential,6,"LINESTRING (-118.3204546 34.1052550, -118.3204560 34.1053539, -118.3204576 34.1053970, -118.3204562 34.1056000)",auto,1,0,,
Cheremoya Avenue,9,13306345,9,8,1,38.26,,,,residential,6,"LINESTRING (-118.3204562 34.1056000, -118.3204576 34.1053970, -118.3204560 34.1053539, -118.3204546 34.1052550)",auto,1,0,,
Ivar Avenue,10,13306746,10,11,1,44.13,,,,residential,6,"LINESTRING (-118.3289166 34.0953431, -118.3288073 34.0956005, -118.3287886 34.0956775, -118.3287987 34.0957232)",auto,0,0,,
North Hudson Avenue,11,13313669,12,13,1,203.0,,,,residential,6,"LINESTRING (-118.3315847 34.0961491, -118.3315772 34.0971477, -118.3315769 34.0971924, -118.3315760 34.0973038, -118.3315743 34.0975261, -118.3315730 34.0976937, -118.3315719 34.0978443, -118.3315709 34.0979799)",auto,1,0,,
North Hudson Avenue,12,13313669,13,12,1,203.0,,,,residential,6,"LINESTRING (-118.3315709 34.0979799, -118.3315719 34.0978443, -118.3315730 34.0976937, -118.3315743 34.0975261, -118.3315760 34.0973038, -118.3315769 34.0971924, -118.3315772 34.0971477, -118.3315847 34.0961491)",auto,1,0,,
North Hudson Avenue,13,13313674,14,15,1,201.35,,,,residential,6,"LINESTRING (-118.3322070 34.1033838, -118.3321870 34.1024515, -118.3321747 34.1024156, -118.3321699 34.1024017, -118.3321262 34.1023452, -118.3320938 34.1022984, -118.3320797 34.1022464, -118.3320726 34.1017534, -118.3320719 34.1017043, -118.3320698 34.1015893)",auto,1,0,,
North Hudson Avenue,14,13313674,15,14,1,201.35,,,,residential,6,"LINESTRING (-118.3320698 34.1015893, -118.3320719 34.1017043, -118.3320726 34.1017534, -118.3320797 34.1022464, -118.3320938 34.1022984, -118.3321262 34.1023452, -118.3321699 34.1024017, -118.3321747 34.1024156, -118.3321870 34.1024515, -118.3322070 34.1033838)",auto,1,0,,
South Yucca Street,15,13324540,16,17,1,110.38,,,,residential,6,"LINESTRING (-118.3180229 34.1040019, -118.3185449 34.1040052, -118.3187326 34.1040064, -118.3189777 34.1040079, -118.3190807 34.1040150, -118.3192094 34.1040577)",auto,1,0,,
South Yucca Street,16,13324540,17,16,1,110.38,,,,residential,6,"LINESTRING (-118.3192094 34.1040577, -118.3190807 34.1040150, -118.3189777 34.1040079, -118.3187326 34.1040064, -118.3185449 34.1040052, -118.3180229 34.1040019)",auto,1,0,,
Homewood Avenue,17,13329052,18,19,1,205.38,,,,residential,6,"LINESTRING (-118.3266411 34.0952768, -118.3278414 34.0952641, -118.3284933 34.0952573, -118.3287825 34.0952542, -118.3288674 34.0952540)",auto,1,0,,
Homewood Avenue,18,13329052,19,18,1,205.38,,,,residential,6,"LINESTRING (-118.3288674 34.0952540, -118.3287825 34.0952542, -118.3284933 34.0952573, -118.3278414 34.0952641, -118.3266411 34.0952768)",auto,1,0,,
Homewood Avenue,19,13329054,20,21,1,202.22,,,,residential,6,"LINESTRING (-118.3310181 34.0952415, -118.3313672 34.0952421, -118.3326191 34.0952444, -118.3332103 34.0952455)",auto,1,0,,
Homewood Avenue,20,13329054,21,20,1,202.22,,,,residential,6,"LINESTRING (-118.3332103 34.0952455, -118.3326191 34.0952444, -118.3313672 34.0952421, -118.3310181 34.0952415)",auto,1,0,,
