name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,2354337092,,,,,,,-118.3155231,34.10056,,,
,1,4074126191,,,,,,,-118.3159383,34.1013839,,,
,2,122394473,crossing,,,,,,-118.315809,34.1016873,,,
,3,123274817,,,,,,,-118.315813,34.102754,,,
,4,123690582,,,,,,,-118.3158379,34.10527,,,
,5,,,,,,,,-118.3158381,34.1056,,,boundary node created by osm2gmns
,6,282391349,motorway_junction,,,,,,-118.3144213,34.0989774,,,
,7,1963770121,,,,,,,-118.3141891,34.0980728,,,
,8,1902424717,,,,,,,-118.3204546,34.105255,,,
,9,,,,,,,,-118.3204562,34.1056,,,boundary node created by osm2gmns
,10,938551726,,,,,,,-118.3289166,34.0953431,,,
,11,472413793,,,,,,,-118.3287987,34.0957232,,,
,12,122782554,,,,,,,-118.3315847,34.0961491,,,
,13,472413655,,,,,,,-118.3315709,34.0979799,,,
,14,122782581,,,,,,,-118.332207,34.1033838,,,
,15,122782579,,,,,,,-118.3320698,34.1015893,,,
,16,1717816394,,,,,,,-118.3180229,34.1040019,,,
,17,280320946,,,,,,,-118.3192094,34.1040577,,,
,18,122626459,,,,,,,-118.3266411,34.0952768,,,
,19,122740585,,,,,,,-118.3288674,34.095254,,,
,20,122872846,,,,,,,-118.3310181,34.0952415,,,
,21,122872849,,,,,,,-118.3332103,34.0952455,,,
,22,122874756,,,,,,,-118.3338219,34.0979955,,,
,23,122874758,traffic_signals,,signal,,,,-118.3338279,34.0997576,,,
,24,,,,,,,,-118.3352347,34.0938,,,boundary node created by osm2gmns
,25,122929435,,,,,,,-118.3352314,34.0943858,,,
,26,122929438,,,,,,,-118.3352585,34.0961712,,,
,27,122929441,,,,,,,-118.3353055,34.0970273,,,
,28,122929444,traffic_signals,,signal,,,,-118.3353165,34.0979973,,,
,29,1717816403,,,,,,,-118.3350206,34.0997032,,,
,30,122929456,,,,,,,-118.3350387,34.1015695,,,
,31,122958807,traffic_signals,,signal,,,,-118.3251978,34.1016381,,,
,32,1718676631,traffic_signals,,signal,,,,-118.3252007,34.0997999,,,
,33,1270766972,,,,,,,-118.3277611,34.0974796,,,
,34,123002646,,,,,,,-118.3277428,34.0979968,,,
,35,280321347,turning_circle,,,,,,-118.3239957,34.1047202,,,
,36,123011710,,,,,,,-118.3240015,34.1052393,,,
,37,123059020,,,,,,,-118.3324706,34.0979885,,,
,38,20842301,stop,,,,,,-118.3324825,34.0997642,,,
,39,123059026,,,,,,,-118.3324947,34.1015833,,,
,40,,,,,,,,-118.334228,34.0938,,,boundary node created by osm2gmns
,41,123129616,,,,,,,-118.3342171,34.0943929,,,
,42,123129618,,,,,,,-118.3342362,34.0961692,,,
,43,123082051,traffic_signals,,signal,,,,-118.3310373,34.0979842,,,
,44,123143611,traffic_signals,,signal,,,,-118.3310411,34.0997712,,,
,45,6787560164,,,,,,,-118.3310401,34.1001238,,,
,46,123149106,,,,,,,-118.3193982,34.1052532,,,
,47,123149117,,,,,,,-118.3196047,34.1030335,,,
,48,1840698101,turning_circle,,,,,,-118.3193948,34.1035176,,,
,49,,,,,,,,-118.3190446,34.0938,,,boundary node created by osm2gmns
,50,123149133,,,,,,,-118.319049,34.0944108,,,
,51,123082032,,,,,,,-118.319055,34.098045,,,
,52,1717816354,,,,,,,-118.3244088,34.0998038,,,
,53,1721342788,,,,,,,-118.3237541,34.1004868,,,
,54,,,,,,,,-118.3211852,34.0938,,,boundary node created by osm2gmns
,55,123232448,,,,,,,-118.3211822,34.0943878,,,
,56,,,,,,,,-118.3233599,34.0938,,,boundary node created by osm2gmns
,57,123248378,,,,,,,-118.3233623,34.0943807,,,
,58,280321655,traffic_signals,,signal,,,,-118.3310463,34.1052484,,,
,59,,,,,,,,-118.3309,34.1056,,,boundary node created by osm2gmns
,60,26079306,,,,,,,-118.316926,34.1052719,,,
,61,123302899,,,,,,,-118.3223317,34.0962163,,,
,62,123234026,,,,,,,-118.323711,34.0962052,,,
,63,122626461,traffic_signals,,signal,,,,-118.3266411,34.096186,,,
,64,123320222,,,,,,,-118.3223229,34.099668,,,
,65,123320219,,,,,,,-118.3206143,34.0996542,,,
,66,123082036,,,,,,,-118.320542,34.0980346,,,
,67,123359029,,,,,,,-118.3205553,34.0989279,,,
,68,2354337105,,,,,,,-118.3206353,34.1039139,,,
,69,123359037,,,,,,,-118.3205847,34.1030107,,,
,70,123320225,,,,,,,-118.3288038,34.0997822,,,
,71,123418605,,,,,,,-118.3288159,34.1016129,,,
,72,,,,,,,,-118.3133,34.1004964,,,boundary node created by osm2gmns
,73,1840698092,stop,,,,,,-118.3136471,34.1004939,,,
,74,123565799,,,,,,,-118.3148228,34.1004829,,,
,75,123565802,turning_circle,,,,,,-118.3151176,34.1004836,,,
,76,280319657,crossing,,,,,,-118.3222845,34.1039939,,,
,77,2590823908,,,,,,,-118.3225031,34.1037665,,,
,78,123011740,,,,,,,-118.3238665,34.103727,,,
,79,4009708605,,,,,,,-118.3249496,34.1037204,,,
,80,123571279,,,,,,,-118.3317877,34.1039117,,,
,81,123571295,,,,,,,-118.3333216,34.1033851,,,
,82,123571316,,,,,,,-118.3333974,34.1032078,,,
,83,349206910,,,,,,,-118.3347257,34.1031956,,,
,84,123581477,,,,,,,-118.3223268,34.0952838,,,
,85,123234023,stop,,,,,,-118.3240723,34.095281,,,
,86,123596884,,,,,,,-118.3147249,34.1016957,,,
,87,123596886,,,,,,,-118.3147489,34.1052882,,,
,88,,,,,,,,-118.3147495,34.1056,,,boundary node created by osm2gmns
,89,123596897,,,,,,,-118.3147297,34.0993929,,,
,90,349216544,,,,,,,-118.3321593,34.1039489,,,
,91,123652385,,,,,,,-118.3321664,34.1052443,,,
,92,,,,,,,,-118.3321483,34.1056,,,boundary node created by osm2gmns
,93,,,,,,,,-118.3133,34.0957637,,,boundary node created by osm2gmns
,94,7250129639,,,,,,,-118.3134441,34.0957644,,,
