name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
RT Jones Road,0,4626017,0,1,1,135.24,,,,unclassified,15,"LINESTRING (-122.0635316 37.4099367, -122.0635824 37.4100359, -122.0635991 37.4100680, -122.0637492 37.4103854, -122.0638807 37.4107136, -122.0639608 37.4110119, -122.0639674 37.4111000)",auto,0,0,,
RT Jones Road,1,4626017,2,0,1,14.65,,,,unclassified,15,"LINESTRING (-122.0634688 37.4098145, -122.0635316 37.4099367)",auto,0,0,,
,2,4629955,3,4,1,147.77,3,104,,motorway,1,"LINESTRING (-122.0686769 37.3908288, -122.0687912 37.3895000)",auto,0,0,,
,3,5005672,5,6,1,491.97,2,,,motorway,1,"LINESTRING (-122.0681996 37.4081826, -122.0690826 37.4085694, -122.0692786 37.4086586, -122.0694610 37.4087459, -122.0703532 37.4091936, -122.0705351 37.4092940, -122.0706851 37.4093870, -122.0708891 37.4095227, -122.0710541 37.4096275, -122.0712093 37.4097149, -122.0713798 37.4097984, -122.0715503 37.4098736, -122.0717105 37.4099337, -122.0728094 37.4103202, -122.0730000 37.4103882)",auto,0,1,,
,4,5012264,7,8,1,222.78,1,104,,motorway,1,"LINESTRING (-122.0700516 37.4080197, -122.0701282 37.4081444, -122.0702025 37.4082563, -122.0702866 37.4083677, -122.0703789 37.4084819, -122.0704764 37.4085930, -122.0705867 37.4087024, -122.0707013 37.4088023, -122.0708272 37.4089030, -122.0709659 37.4090019, -122.0711131 37.4090986, -122.0712592 37.4091860, -122.0714187 37.4092701, -122.0715836 37.4093463, -122.0717766 37.4094237)",auto,0,1,,
,5,5018655,9,10,1,744.39,3,104,,motorway,1,"LINESTRING (-122.0699834 37.4023860, -122.0699861 37.4014414, -122.0699807 37.4009939, -122.0699620 37.4005997, -122.0699244 37.4002418, -122.0698708 37.3999158, -122.0697823 37.3995365, -122.0696885 37.3991944, -122.0693880 37.3980693, -122.0692030 37.3973939, -122.0687792 37.3957712)",auto,0,0,,
,6,5018656,11,3,1,156.7,3,104,,motorway,1,"LINESTRING (-122.0685470 37.3922375, -122.0685826 37.3918490, -122.0686769 37.3908288)",auto,0,0,,
East Middlefield Road,7,5050016,12,13,1,106.87,2,56,,secondary,4,"LINESTRING (-122.0573680 37.3967157, -122.0577627 37.3968643, -122.0580370 37.3969297, -122.0585022 37.3970384)",auto,0,0,,
,8,5066724,14,9,1,63.06,3,104,,motorway,1,"LINESTRING (-122.0699647 37.4029542, -122.0699834 37.4023860)",auto,0,0,,
,9,8493691,8,15,1,121.15,1,104,,motorway,1,"LINESTRING (-122.0717766 37.4094237, -122.0730000 37.4099138)",auto,0,1,,
,10,8923992,16,17,1,191.73,1,,,motorway,1,"LINESTRING (-122.0689979 37.3912282, -122.0689991 37.3911611, -122.0690011 37.3910445, -122.0689957 37.3896465, -122.0689940 37.3895000)",auto,0,1,,
