name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,6821638751,traffic_signals,,signal,,,,-122.0635316,37.4099367,,,
,1,,,,,,,,-122.0639674,37.4111,,,boundary node created by osm2gmns
,2,519548843,traffic_signals,,signal,,,,-122.0634688,37.4098145,,,
,3,26028040,,,,,,,-122.0686769,37.3908288,,,
,4,,,,,,,,-122.0687912,37.3895,,,boundary node created by osm2gmns
,5,26028109,motorway_junction,,,,,,-122.0681996,37.4081826,,,
,6,,,,,,,,-122.073,37.4103882,,,boundary node created by osm2gmns
,7,689349785,,,,,,,-122.0700516,37.4080197,,,
,8,447918473,,,,,,,-122.0717766,37.4094237,,,
,9,34153357,,,,,,,-122.0699834,37.402386,,,
,10,26028046,,,,,,,-122.0687792,37.3957712,,,
,11,26028041,,,,,,,-122.068547,37.3922375,,,
,12,2160595000,,,,,,,-122.057368,37.3967157,,,
,13,4176093994,,,,,,,-122.0585022,37.3970384,,,
,14,34153348,,,,,,,-122.0699647,37.4029542,,,
,15,,,,,,,,-122.073,37.4099138,,,boundary node created by osm2gmns
,16,331741674,traffic_signals,,signal,,,,-122.0689979,37.3912282,,,
,17,,,,,,,,-122.068994,37.3895,,,boundary node created by osm2gmns
,18,65391446,,,,,,,-122.0710693,37.4024722,,,
,19,338856113,,,,,,,-122.0700622,37.4029194,,,
,20,65394577,,,,,,,-122.0706495,37.4020687,,,
,21,689358728,,,,,,,-122.0707537,37.4021626,,,
,22,706934715,motorway_junction,,,,,,-122.0695034,37.3992306,,,
,23,689360662,,,,,,,-122.0695244,37.4022911,,,
,24,65397660,,,,,,,-122.0680577,37.3947942,,,
,25,708122289,,,,,,,-122.0684198,37.3958212,,,
,26,65403957,,,,,,,-122.0677205,37.3950496,,,
,27,1044247340,traffic_signals,,signal,,,,-122.0680283,37.4045963,,,
,28,65411593,traffic_signals,,signal,,,,-122.0679053,37.4045175,,,
,29,1044247173,traffic_signals,,signal,,,,-122.067083,37.4061487,,,
,30,65417614,traffic_signals,,signal,,,,-122.0669627,37.4061162,,,
,31,65426006,,,,,,,-122.0664913,37.4051598,,,
,32,65426009,,,,,,,-122.0659062,37.4046497,,,
,33,65435329,,,,,,,-122.0623303,37.3954483,,,
,34,65435330,,,,,,,-122.0620364,37.3962244,,,
,35,65437010,,,,,,,-122.0632243,37.3901036,,,
,36,287238875,,,,,,,-122.0637339,37.3899707,,,
,37,65437586,,,,,,,-122.0638273,37.4041755,,,
,38,65437588,,,,,,,-122.0628824,37.403957,,,
,39,65444507,,,,,,,-122.0628136,37.4100402,,,
,40,6821638752,,,,,,,-122.0622565,37.4102288,,,
,41,686350802,,,,,,,-122.0608066,37.4105449,,,
,42,686350962,,,,,,,-122.0604064,37.4105009,,,
,43,,,,,,,,-122.0585835,37.4111,,,boundary node created by osm2gmns
,44,708149181,turning_circle,,,,,,-122.0666258,37.3913451,,,
,45,806238311,,,,,,,-122.0664902,37.3917803,,,
,46,65451944,,,,,,,-122.0554331,37.4073185,,,
,47,65451949,,,,,,,-122.0548679,37.4089131,,,
,48,65460859,,,,,,,-122.0703873,37.4063051,,,
,49,65460862,,,,,,,-122.0715885,37.4084634,,,
,50,65462527,,,,,,,-122.0565153,37.4058474,,,
,51,65462530,,,,,,,-122.0564094,37.4075306,,,
,52,65397175,,,,,,,-122.0559266,37.4091476,,,
,53,65462532,stop,,,,,,-122.0564281,37.4101234,,,
,54,65468499,,,,,,,-122.0705098,37.3953098,,,
,55,65468501,,,,,,,-122.0710524,37.3944497,,,
,56,65481108,,,,,,,-122.0687497,37.4035036,,,
,57,65411596,,,,,,,-122.0676469,37.4043717,,,
,58,65481492,,,,,,,-122.0672942,37.4036179,,,
,59,65481494,,,,,,,-122.0657025,37.403434,,,
,60,65481501,,,,,,,-122.0651109,37.4052249,,,
,61,65482186,,,,,,,-122.0678195,37.3956701,,,
,62,65482187,,,,,,,-122.0673413,37.3960536,,,
