name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
Stevens Creek Boulevard,0,5031806,0,1,1,156.51,3,56,,primary,3,"LINESTRING (-122.0349711 37.3228109, -122.0348053 37.3228113, -122.0342543 37.3228128, -122.0337927 37.3228140, -122.0332046 37.3228174)",auto,0,0,,
Bollinger Road,1,8927990,2,3,1,56.95,,,,residential,6,"LINESTRING (-122.0391608 37.3125172, -122.0389849 37.3125510, -122.0386432 37.3125443, -122.0385241 37.3125330)",auto,1,0,,
Bollinger Road,2,8927990,3,2,1,56.95,,,,residential,6,"LINESTRING (-122.0385241 37.3125330, -122.0386432 37.3125443, -122.0389849 37.3125510, -122.0391608 37.3125172)",auto,1,0,,
Bollinger Road,3,8927990,3,4,1,85.77,,,,residential,6,"LINESTRING (-122.0385241 37.3125330, -122.0383031 37.3125062, -122.0379788 37.3124296, -122.0375775 37.3123795)",auto,1,0,,
Bollinger Road,4,8927990,4,3,1,85.77,,,,residential,6,"LINESTRING (-122.0375775 37.3123795, -122.0379788 37.3124296, -122.0383031 37.3125062, -122.0385241 37.3125330)",auto,1,0,,
Huntridge Lane,5,8928306,5,6,1,119.17,1,40,,residential,6,"LINESTRING (-122.0417461 37.3113206, -122.0425782 37.3113070, -122.0426856 37.3112914, -122.0428544 37.3112138, -122.0430334 37.3111281)",auto,1,0,,
Huntridge Lane,6,8928306,6,5,1,119.17,1,40,,residential,6,"LINESTRING (-122.0430334 37.3111281, -122.0428544 37.3112138, -122.0426856 37.3112914, -122.0425782 37.3113070, -122.0417461 37.3113206)",auto,1,0,,
Lilac Way,7,8928554,7,8,1,66.78,1,40,,residential,6,"LINESTRING (-122.0417106 37.3127192, -122.0424642 37.3127101)",auto,1,0,,
Lilac Way,8,8928554,8,7,1,66.78,1,40,,residential,6,"LINESTRING (-122.0424642 37.3127101, -122.0417106 37.3127192)",auto,1,0,,
Lilac Way,9,8928554,8,9,1,125.07,1,40,,residential,6,"LINESTRING (-122.0424642 37.3127101, -122.0435101 37.3127182, -122.0437683 37.3126874, -122.0438487 37.3126341)",auto,1,0,,
Lilac Way,10,8928554,9,8,1,125.07,1,40,,residential,6,"LINESTRING (-122.0438487 37.3126341, -122.0437683 37.3126874, -122.0435101 37.3127182, -122.0424642 37.3127101)",auto,1,0,,
Pepper Tree Lane,11,8928698,10,11,1,44.59,1,40,,residential,6,"LINESTRING (-122.0378319 37.3196655, -122.0383352 37.3196632)",auto,1,0,,
Pepper Tree Lane,12,8928698,11,10,1,44.59,1,40,,residential,6,"LINESTRING (-122.0383352 37.3196632, -122.0378319 37.3196655)",auto,1,0,,
Shannon Court,13,8928958,12,13,1,141.01,,,,residential,6,"LINESTRING (-122.0504783 37.3121329, -122.0503760 37.3121350, -122.0503716 37.3121351, -122.0488870 37.3121358)",auto,1,0,,
Shannon Court,14,8928958,13,12,1,141.01,,,,residential,6,"LINESTRING (-122.0488870 37.3121358, -122.0503716 37.3121351, -122.0503760 37.3121350, -122.0504783 37.3121329)",auto,1,0,,
