name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,917880334,traffic_signals,,signal,,,,-122.0349711,37.3228109,,,
,1,3239830742,,,,,,,-122.0332046,37.3228174,,,
,2,65419386,turning_circle,,,,,,-122.0391608,37.3125172,,,
,3,65419388,,,,,,,-122.0385241,37.312533,,,
,4,65419392,,,,,,,-122.0375775,37.3123795,,,
,5,6095150719,,,,,,,-122.0417461,37.3113206,,,
,6,65422054,turning_circle,,,,,,-122.0430334,37.3111281,,,
,7,6095177646,,,,,,,-122.0417106,37.3127192,,,
,8,65424124,,,,,,,-122.0424642,37.3127101,,,
,9,65424127,,,,,,,-122.0438487,37.3126341,,,
,10,65425455,turning_circle,,,,,,-122.0378319,37.3196655,,,
,11,65425458,,,,,,,-122.0383352,37.3196632,,,
,12,65428001,,,,,,,-122.0504783,37.3121329,,,
,13,65428002,turning_circle,,,,,,-122.048887,37.3121358,,,
,14,65433388,,,,,,,-122.0449479,37.3143089,,,
,15,65433390,turning_circle,,,,,,-122.0452692,37.3143057,,,
,16,917880338,,,,,,,-122.040392,37.3228155,,,
,17,65441874,turning_circle,,,,,,-122.0403445,37.3220189,,,
,18,65442013,,,,,,,-122.034961,37.310799,,,
,19,65442017,,,,,,,-122.0377183,37.3107409,,,
,20,65442019,,,,,,,-122.0390827,37.3107453,,,
,21,65447288,turning_circle,,,,,,-122.0385773,37.3121813,,,
,22,65461347,,,,,,,-122.0384773,37.3185576,,,
,23,65461355,,,,,,,-122.0378416,37.3212218,,,
,24,262844406,turning_circle,,,,,,-122.0426814,37.3120265,,,
,25,65466372,,,,,,,-122.0492176,37.3103543,,,
,26,65466375,turning_circle,,,,,,-122.0493502,37.3106297,,,
,27,65467025,,,,,,,-122.0422751,37.3144049,,,
,28,65467032,turning_circle,,,,,,-122.0428082,37.3137344,,,
,29,65472861,turning_circle,,,,,,-122.03756,37.3189032,,,
,30,65472865,,,,,,,-122.0375573,37.3185491,,,
,31,65472867,,,,,,,-122.0375466,37.3163285,,,
,32,65472870,,,,,,,-122.0375581,37.3155996,,,
,33,65485986,,,,,,,-122.051471,37.323742,,,
