name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,0,8924062,0,1,1,2.59,1,,,motorway,1,"LINESTRING (-121.8800290 37.3272432, -121.8800000 37.3272397)",auto,0,1,,
,1,8924105,2,3,1,207.08,1,,,motorway,1,"LINESTRING (-121.8829405 37.3259406, -121.8827522 37.3254877, -121.8827424 37.3254191, -121.8827592 37.3252781, -121.8827931 37.3252132, -121.8828917 37.3251032, -121.8830430 37.3250233, -121.8832291 37.3249958, -121.8834211 37.3250243, -121.8835751 37.3251053, -121.8836788 37.3252208, -121.8837063 37.3252832, -121.8837206 37.3253496, -121.8837097 37.3254475)",auto,0,1,,
,2,8924105,3,4,1,68.51,1,,,motorway,1,"LINESTRING (-121.8837097 37.3254475, -121.8837078 37.3254712, -121.8836832 37.3255291, -121.8836404 37.3255923, -121.8835810 37.3256511, -121.8833867 37.3257755, -121.8831893 37.3258750)",auto,0,1,,
,3,8924455,5,6,1,123.05,2,,,motorway,1,"LINESTRING (-121.8806292 37.3286000, -121.8804524 37.3283868, -121.8804030 37.3283045, -121.8803673 37.3282137, -121.8803398 37.3281229, -121.8803350 37.3280270, -121.8803562 37.3279361, -121.8804028 37.3278472, -121.8804444 37.3277900, -121.8804967 37.3277394, -121.8805411 37.3277022, -121.8806431 37.3276350)",auto,0,1,,
,4,8924545,7,8,1,169.52,1,,,motorway,1,"LINESTRING (-121.8936090 37.3239042, -121.8937981 37.3238827, -121.8954935 37.3236403)",auto,0,1,,
,5,8925242,9,10,1,105.23,2,,,motorway,1,"LINESTRING (-121.8957266 37.3288479, -121.8956401 37.3286213, -121.8956046 37.3285192, -121.8955606 37.3284185, -121.8953006 37.3279647)",auto,0,1,,
,6,8926383,11,12,1,113.5,2,,,motorway,1,"LINESTRING (-121.8947612 37.3227711, -121.8940919 37.3228293, -121.8939177 37.3228517, -121.8937635 37.3228797, -121.8935931 37.3229217, -121.8935045 37.3229488)",auto,0,1,,
Palm Street,7,8928796,13,14,1,322.42,,,,residential,6,"LINESTRING (-121.8894603 37.3231969, -121.8887502 37.3222350, -121.8876502 37.3207603, -121.8876047 37.3206969)",auto,1,0,,
Palm Street,8,8928796,14,13,1,322.42,,,,residential,6,"LINESTRING (-121.8876047 37.3206969, -121.8876502 37.3207603, -121.8887502 37.3222350, -121.8894603 37.3231969)",auto,1,0,,
Palm Street,9,8928796,14,15,1,12.44,,,,residential,6,"LINESTRING (-121.8876047 37.3206969, -121.8875564 37.3206296, -121.8875342 37.3206000)",auto,1,0,,
Palm Street,10,8928796,15,14,1,12.44,,,,residential,6,"LINESTRING (-121.8875342 37.3206000, -121.8875564 37.3206296, -121.8876047 37.3206969)",auto,1,0,,
Spencer Avenue,11,8929601,16,17,1,93.52,,,,residential,6,"LINESTRING (-121.8917739 37.3214318, -121.8917298 37.3213705, -121.8917155 37.3213009, -121.8917584 37.3206000)",auto,1,0,,
Spencer Avenue,12,8929601,17,16,1,93.52,,,,residential,6,"LINESTRING (-121.8917584 37.3206000, -121.8917155 37.3213009, -121.8917298 37.3213705, -121.8917739 37.3214318)",auto,1,0,,
Duane Street,13,8934673,18,19,1,88.48,,,,residential,6,"LINESTRING (-121.8837569 37.3249205, -121.8838466 37.3248454, -121.8845968 37.3244955)",auto,1,0,,
Duane Street,14,8934673,19,18,1,88.48,,,,residential,6,"LINESTRING (-121.8845968 37.3244955, -121.8838466 37.3248454, -121.8837569 37.3249205)",auto,1,0,,
Duane Street,15,8934673,19,20,1,135.49,,,,residential,6,"LINESTRING (-121.8845968 37.3244955, -121.8853499 37.3241400, -121.8858215 37.3239174, -121.8858320 37.3239122, -121.8859124 37.3238729)",auto,1,0,,
Duane Street,16,8934673,20,19,1,135.49,,,,residential,6,"LINESTRING (-121.8859124 37.3238729, -121.8858320 37.3239122, -121.8858215 37.3239174, -121.8853499 37.3241400, -121.8845968 37.3244955)",auto,1,0,,
East Virginia Street,17,8935004,21,22,1,108.1,1,40,,tertiary,5,"LINESTRING (-121.8815608 37.3240732, -121.8814591 37.3241286, -121.8814589 37.3241287, -121.8810206 37.3243340, -121.8809003 37.3243905, -121.8806147 37.3245245, -121.8805141 37.3245735)",auto,1,0,,
East Virginia Street,18,8935004,22,21,1,108.1,1,40,,tertiary,5,"LINESTRING (-121.8805141 37.3245735, -121.8806147 37.3245245, -121.8809003 37.3243905, -121.8810206 37.3243340, -121.8814589 37.3241287, -121.8814591 37.3241286, -121.8815608 37.3240732)",auto,1,0,,
Sonoma Street,19,8935605,23,24,1,161.34,,,,residential,6,"LINESTRING (-121.8975000 37.3282660, -121.8974713 37.3282304, -121.8966250 37.3270818, -121.8966194 37.3270755, -121.8965669 37.3270175)",auto,1,0,,
Sonoma Street,20,8935605,24,23,1,161.34,,,,residential,6,"LINESTRING (-121.8965669 37.3270175, -121.8966194 37.3270755, -121.8966250 37.3270818, -121.8974713 37.3282304, -121.8975000 37.3282660)",auto,1,0,,
Pierce Avenue,21,8936897,25,26,1,190.51,,,,residential,6,"LINESTRING (-121.8844824 37.3276393, -121.8846105 37.3275819, -121.8846310 37.3275723, -121.8850583 37.3273734, -121.8851140 37.3273473, -121.8863406 37.3267750)",auto,1,0,,
Pierce Avenue,22,8936897,26,25,1,190.51,,,,residential,6,"LINESTRING (-121.8863406 37.3267750, -121.8851140 37.3273473, -121.8850583 37.3273734, -121.8846310 37.3275723, -121.8846105 37.3275819, -121.8844824 37.3276393)",auto,1,0,,
Pierce Avenue,23,8936897,26,27,1,131.18,,,,residential,6,"LINESTRING (-121.8863406 37.3267750, -121.8868303 37.3265361, -121.8875148 37.3262021, -121.8875250 37.3261970, -121.8876070 37.3261625)",auto,1,0,,
Pierce Avenue,24,8936897,27,26,1,131.18,,,,residential,6,"LINESTRING (-121.8876070 37.3261625, -121.8875250 37.3261970, -121.8875148 37.3262021, -121.8868303 37.3265361, -121.8863406 37.3267750)",auto,1,0,,
Woz Way,25,8937176,28,29,1,24.1,1,,,secondary,4,"LINESTRING (-121.8943630 37.3281588, -121.8944004 37.3282192, -121.8944912 37.3283503)",auto,1,0,,
Woz Way,26,8937176,29,28,1,24.1,2,,,secondary,4,"LINESTRING (-121.8944912 37.3283503, -121.8944004 37.3282192, -121.8943630 37.3281588)",auto,1,0,,
West Reed Street,27,8937593,30,31,1,329.19,,,,residential,6,"LINESTRING (-121.8836110 37.3268143, -121.8837363 37.3267983, -121.8868273 37.3253421)",auto,1,0,,
West Reed Street,28,8937593,31,30,1,329.19,,,,residential,6,"LINESTRING (-121.8868273 37.3253421, -121.8837363 37.3267983, -121.8836110 37.3268143)",auto,1,0,,
South 5th Street,29,8940338,32,33,1,184.94,,,,residential,6,"LINESTRING (-121.8817413 37.3320289, -121.8817044 37.3319784, -121.8814058 37.3315749, -121.8807237 37.3306526, -121.8806796 37.3305935)",auto,1,0,,
South 5th Street,30,8940338,33,32,1,184.94,,,,residential,6,"LINESTRING (-121.8806796 37.3305935, -121.8807237 37.3306526, -121.8814058 37.3315749, -121.8817044 37.3319784, -121.8817413 37.3320289)",auto,1,0,,
South 5th Street,31,8940338,33,34,1,119.11,,,,residential,6,"LINESTRING (-121.8806796 37.3305935, -121.8806479 37.3305467, -121.8802236 37.3299712, -121.8800753 37.3297695, -121.8800000 37.3296671)",auto,1,0,,
South 5th Street,32,8940338,34,33,1,119.11,,,,residential,6,"LINESTRING (-121.8800000 37.3296671, -121.8800753 37.3297695, -121.8802236 37.3299712, -121.8806479 37.3305467, -121.8806796 37.3305935)",auto,1,0,,
South Almaden Avenue,33,8940886,35,36,1,82.48,1,40,,residential,6,"LINESTRING (-121.8888736 37.3278717, -121.8888725 37.3278504, -121.8887962 37.3277506, -121.8884834 37.3273374, -121.8884059 37.3272318)",auto,1,0,,
South Almaden Avenue,34,8940886,36,35,1,82.48,1,40,,residential,6,"LINESTRING (-121.8884059 37.3272318, -121.8884834 37.3273374, -121.8887962 37.3277506, -121.8888725 37.3278504, -121.8888736 37.3278717)",auto,1,0,,
West Virginia Street,35,8941410,21,37,1,187.0,1,,,tertiary,5,"LINESTRING (-121.8815608 37.3240732, -121.8816761 37.3239986, -121.8831684 37.3230334, -121.8832010 37.3230123)",auto,1,0,,
West Virginia Street,36,8941410,37,21,1,187.0,1,,,tertiary,5,"LINESTRING (-121.8832010 37.3230123, -121.8831684 37.3230334, -121.8816761 37.3239986, -121.8815608 37.3240732)",auto,1,0,,
West Virginia Street,37,8941410,37,38,1,159.84,1,,,tertiary,5,"LINESTRING (-121.8832010 37.3230123, -121.8832618 37.3229707, -121.8842746 37.3223043, -121.8844248 37.3222114, -121.8845224 37.3221638, -121.8846144 37.3221195)",auto,1,0,,
West Virginia Street,38,8941410,38,37,1,159.84,1,,,tertiary,5,"LINESTRING (-121.8846144 37.3221195, -121.8845224 37.3221638, -121.8844248 37.3222114, -121.8842746 37.3223043, -121.8832618 37.3229707, -121.8832010 37.3230123)",auto,1,0,,
Minor Avenue,39,8942162,39,40,1,89.54,,,,residential,6,"LINESTRING (-121.8939595 37.3223932, -121.8940079 37.3215870)",auto,1,0,,
Minor Avenue,40,8942162,40,39,1,89.54,,,,residential,6,"LINESTRING (-121.8940079 37.3215870, -121.8939595 37.3223932)",auto,1,0,,
Minor Avenue,41,8942162,40,41,1,109.61,,,,residential,6,"LINESTRING (-121.8940079 37.3215870, -121.8940133 37.3214971, -121.8940637 37.3206000)",auto,1,0,,
Minor Avenue,42,8942162,41,40,1,109.61,,,,residential,6,"LINESTRING (-121.8940637 37.3206000, -121.8940133 37.3214971, -121.8940079 37.3215870)",auto,1,0,,
East San Salvador Street,43,8944567,42,32,1,32.81,1,32,,tertiary,5,"LINESTRING (-121.8820671 37.3318890, -121.8820072 37.3319166, -121.8819035 37.3319545, -121.8818830 37.3319616, -121.8817413 37.3320289)",auto,1,0,,
East San Salvador Street,44,8944567,32,42,1,32.81,1,32,,tertiary,5,"LINESTRING (-121.8817413 37.3320289, -121.8818830 37.3319616, -121.8819035 37.3319545, -121.8820072 37.3319166, -121.8820671 37.3318890)",auto,1,0,,
East San Salvador Street,45,8944567,32,43,1,111.84,1,32,,tertiary,5,"LINESTRING (-121.8817413 37.3320289, -121.8816443 37.3320756, -121.8814246 37.3321786, -121.8812748 37.3322651, -121.8811538 37.3323209, -121.8806642 37.3325537)",auto,1,0,,
East San Salvador Street,46,8944567,43,32,1,111.84,1,32,,tertiary,5,"LINESTRING (-121.8806642 37.3325537, -121.8811538 37.3323209, -121.8812748 37.3322651, -121.8814246 37.3321786, -121.8816443 37.3320756, -121.8817413 37.3320289)",auto,1,0,,
East San Salvador Street,47,8944567,43,44,1,68.81,1,32,,tertiary,5,"LINESTRING (-121.8806642 37.3325537, -121.8801449 37.3328057, -121.8800000 37.3328753)",auto,1,0,,
East San Salvador Street,48,8944567,44,43,1,68.81,1,32,,tertiary,5,"LINESTRING (-121.8800000 37.3328753, -121.8801449 37.3328057, -121.8806642 37.3325537)",auto,1,0,,
Oak Street,49,8947065,45,46,1,178.98,,,,residential,6,"LINESTRING (-121.8803028 37.3227145, -121.8804128 37.3226527, -121.8818679 37.3216949)",auto,1,0,,
Oak Street,50,8947065,46,45,1,178.98,,,,residential,6,"LINESTRING (-121.8818679 37.3216949, -121.8804128 37.3226527, -121.8803028 37.3227145)",auto,1,0,,
Oak Street,51,8947065,46,47,1,185.86,,,,residential,6,"LINESTRING (-121.8818679 37.3216949, -121.8819249 37.3216580, -121.8830561 37.3209259, -121.8834640 37.3207328, -121.8835450 37.3206945)",auto,1,0,,
Oak Street,52,8947065,47,46,1,185.86,,,,residential,6,"LINESTRING (-121.8835450 37.3206945, -121.8834640 37.3207328, -121.8830561 37.3209259, -121.8819249 37.3216580, -121.8818679 37.3216949)",auto,1,0,,
Oak Street,53,8947065,47,48,1,20.76,,,,residential,6,"LINESTRING (-121.8835450 37.3206945, -121.8836173 37.3206606, -121.8837472 37.3206000)",auto,1,0,,
Oak Street,54,8947065,48,47,1,20.76,,,,residential,6,"LINESTRING (-121.8837472 37.3206000, -121.8836173 37.3206606, -121.8835450 37.3206945)",auto,1,0,,
Edwards Avenue,55,8947323,49,50,1,67.31,,,,residential,6,"LINESTRING (-121.8800000 37.3215449, -121.8805412 37.3212102, -121.8806006 37.3211734)",auto,1,0,,
Edwards Avenue,56,8947323,50,49,1,67.31,,,,residential,6,"LINESTRING (-121.8806006 37.3211734, -121.8805412 37.3212102, -121.8800000 37.3215449)",auto,1,0,,
