name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,1298171879,motorway_junction,,,,,,-121.880029,37.3272432,,,
,1,,,,,,,,-121.88,37.3272397,,,boundary node created by osm2gmns
,2,1830606721,,,,,,,-121.8829405,37.3259406,,,
,3,4408247122,traffic_signals,,signal,,,,-121.8837097,37.3254475,,,
,4,246450996,,,,,,,-121.8831893,37.325875,,,
,5,65388057,traffic_signals,,signal,,,,-121.8806292,37.3286,,,
,6,246451134,traffic_signals,,signal,,,,-121.8806431,37.327635,,,
,7,246557258,motorway_junction,,,,,,-121.893609,37.3239042,,,
,8,8201765190,,,,,,,-121.8954935,37.3236403,,,
,9,311443383,motorway_junction,,,,,,-121.8957266,37.3288479,,,
,10,311450310,,,,,,,-121.8953006,37.3279647,,,
,11,246557220,,,,,,,-121.8947612,37.3227711,,,
,12,8190252489,,,,,,,-121.8935045,37.3229488,,,
,13,65426402,,,,,,,-121.8894603,37.3231969,,,
,14,65426409,stop,,,,,,-121.8876047,37.3206969,,,
,15,,,,,,,,-121.8875342,37.3206,,,boundary node created by osm2gmns
,16,4951540646,,,,,,,-121.8917739,37.3214318,,,
,17,,,,,,,,-121.8917584,37.3206,,,boundary node created by osm2gmns
,18,65467457,turning_circle,,,,,,-121.8837569,37.3249205,,,
,19,65467458,,,,,,,-121.8845968,37.3244955,,,
,20,65467459,,,,,,,-121.8859124,37.3238729,,,
,21,65469781,traffic_signals,,signal,,,,-121.8815608,37.3240732,,,
,22,65419248,traffic_signals,,signal,,,,-121.8805141,37.3245735,,,
,23,,,,,,,,-121.8975,37.328266,,,boundary node created by osm2gmns
,24,65473798,,,,,,,-121.8965669,37.3270175,,,
,25,4908153782,,,,,,,-121.8844824,37.3276393,,,
,26,65485306,stop,,,,,,-121.8863406,37.326775,,,
,27,65485308,,,,,,,-121.887607,37.3261625,,,
