name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway,is_link,VDF_fftt1,VDF_cap1
,0,6240691,0,1,1,1167.24,4,104,,motorway,1,"LINESTRING (-121.9461677 37.2755047, -121.9460515 37.2759922, -121.9458369 37.2769483, -121.9457629 37.2772558, -121.9456514 37.2775973, -121.9455105 37.2779683, -121.9453926 37.2782446, -121.9452480 37.2785466, -121.9450763 37.2788608, -121.9449046 37.2791613, -121.9446734 37.2794886, -121.9444927 37.2797486, -121.9442695 37.2800286, -121.9439948 37.2803428, -121.9436515 37.2806842, -121.9433082 37.2810189, -121.9428447 37.2813945, -121.9393050 37.2841157)",auto,0,0,,
,1,6240692,2,3,1,108.61,3,104,,motorway,1,"LINESTRING (-121.9471671 37.2722945, -121.9473920 37.2713321)",auto,0,0,,
,2,8924615,4,5,1,27.66,,,,primary,3,"LINESTRING (-121.9517154 37.2750748, -121.9517378 37.2751136, -121.9517411 37.2751229, -121.9517391 37.2751330, -121.9516661 37.2752380, -121.9516712 37.2752685, -121.9516898 37.2753011)",auto,0,1,,
,3,8924617,6,7,1,329.69,1,,,trunk,2,"LINESTRING (-121.9547812 37.2752537, -121.9548000 37.2751603, -121.9547411 37.2750324, -121.9545791 37.2746664, -121.9545438 37.2745758, -121.9545205 37.2744980, -121.9545019 37.2744139, -121.9544914 37.2743245, -121.9544851 37.2742240, -121.9544818 37.2737065, -121.9544744 37.2736276, -121.9544492 37.2735541, -121.9544197 37.2734912, -121.9543710 37.2734302, -121.9542574 37.2733540, -121.9541246 37.2732835, -121.9539119 37.2731748, -121.9538393 37.2731237, -121.9537928 37.2730750, -121.9537636 37.2730205, -121.9537438 37.2729681, -121.9537391 37.2729134, -121.9537380 37.2728672, -121.9537457 37.2728043, -121.9538096 37.2725851)",auto,0,1,,
,4,8926880,8,9,1,258.61,2,,,motorway,1,"LINESTRING (-121.9465307 37.2754547, -121.9471837 37.2735029, -121.9472758 37.2732010)",auto,0,1,,
,5,8927263,10,11,1,175.37,3,,,motorway,1,"LINESTRING (-121.9467203 37.2710919, -121.9464929 37.2726622)",auto,0,1,,
,6,8927528,12,13,1,39.27,,,,residential,6,"LINESTRING (-121.9418048 37.2756266, -121.9417318 37.2755819, -121.9415903 37.2754962, -121.9414769 37.2753913)",auto,1,0,,
,7,8927528,13,12,1,39.27,,,,residential,6,"LINESTRING (-121.9414769 37.2753913, -121.9415903 37.2754962, -121.9417318 37.2755819, -121.9418048 37.2756266)",auto,1,0,,
,8,8927790,14,15,1,64.05,3,,,motorway,1,"LINESTRING (-121.9479965 37.2707728, -121.9480867 37.2702000)",auto,0,1,,
Echo Avenue,9,8927879,16,17,1,281.43,,,,residential,6,"LINESTRING (-121.9527007 37.2789809, -121.9527049 37.2783802, -121.9527044 37.2783486, -121.9527054 37.2783075, -121.9527168 37.2782435, -121.9528241 37.2780472, -121.9528871 37.2780007, -121.9529676 37.2779730, -121.9531567 37.2779116, -121.9543388 37.2779106, -121.9544984 37.2778860, -121.9547454 37.2778194)",auto,1,0,,
