name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,8935125366,,,,,,,-121.9461677,37.2755047,,,
,1,8932454944,,,,,,,-121.939305,37.2841157,,,
,2,52153003,,,,,,,-121.9471671,37.2722945,,,
,3,315034446,,,,,,,-121.947392,37.2713321,,,
,4,383979243,,,,,,,-121.9517154,37.2750748,,,
,5,315027259,,,,,,,-121.9516898,37.2753011,,,
,6,257926374,motorway_junction,,,,,,-121.9547812,37.2752537,,,
,7,65389143,,,,,,,-121.9538096,37.2725851,,,
,8,8935125368,,,,,,,-121.9465307,37.2754547,,,
,9,3971757932,,,,,,,-121.9472758,37.273201,,,
,10,286643525,,,,,,,-121.9467203,37.2710919,,,
,11,3971770153,traffic_signals,,signal,,,,-121.9464929,37.2726622,,,
,12,65415939,,,,,,,-121.9418048,37.2756266,,,
,13,65415940,turning_circle,,,,,,-121.9414769,37.2753913,,,
,14,8935125400,,,,,,,-121.9479965,37.2707728,,,
,15,,,,,,,,-121.9480867,37.2702,,,boundary node created by osm2gmns
,16,65418570,,,,,,,-121.9527007,37.2789809,,,
,17,65418575,,,,,,,-121.9547454,37.2778194,,,
,18,,,,,,,,-121.9460609,37.286,,,boundary node created by osm2gmns
,19,65419205,,,,,,,-121.9460599,37.2857171,,,
,20,65419206,,,,,,,-121.9460578,37.2848813,,,
,21,,,,,,,,-121.955129,37.286,,,boundary node created by osm2gmns
,22,65440059,,,,,,,-121.9551382,37.2848826,,,
,23,3827234357,,,,,,,-121.9528107,37.2759855,,,
,24,65443845,turning_circle,,,,,,-121.9527284,37.2757773,,,
,25,383970865,,,,,,,-121.9466084,37.2705287,,,
,26,4523899251,,,,,,,-121.9474941,37.271218,,,
,27,65447343,,,,,,,-121.9413281,37.2738545,,,
,28,65447345,,,,,,,-121.9411817,37.2725272,,,
,29,65447548,,,,,,,-121.9436056,37.2725172,,,
,30,309510478,,,,,,,-121.942862,37.2738524,,,
,31,,,,,,,,-121.9383,37.2824191,,,boundary node created by osm2gmns
,32,65448666,,,,,,,-121.9387692,37.2824168,,,
,33,65448669,,,,,,,-121.9394133,37.2824156,,,
,34,65448671,,,,,,,-121.9400954,37.282413,,,
,35,1102851989,,,,,,,-121.94015,37.2824125,,,
,36,65447555,,,,,,,-121.9424105,37.2738502,,,
,37,65450723,turning_circle,,,,,,-121.9424562,37.2731483,,,
,38,65454465,,,,,,,-121.9396138,37.272529,,,
,39,65454467,,,,,,,-121.9395741,37.2715498,,,
,40,65454468,,,,,,,-121.9395802,37.270646,,,
,41,,,,,,,,-121.9395743,37.2702,,,boundary node created by osm2gmns
,42,65459725,,,,,,,-121.9405342,37.276173,,,
,43,65459727,,,,,,,-121.940535,37.2751701,,,
,44,65459729,,,,,,,-121.9405634,37.274658,,,
,45,65462976,traffic_signals,,signal,,,,-121.949829,37.2848863,,,
,46,286639433,,,,,,,-121.949327,37.2848791,,,
,47,65463056,,,,,,,-121.9484722,37.2848782,,,
,48,65463058,stop,,,,,,-121.947269,37.2848792,,,
,49,65463059,,,,,,,-121.9452452,37.2848785,,,
,50,4797300707,,,,,,,-121.9533661,37.2765849,,,
,51,6776684628,,,,,,,-121.953365,37.2765413,,,
,52,65471005,,,,,,,-121.9497987,37.2817077,,,
,53,65471009,,,,,,,-121.9542461,37.2816843,,,
,54,65448939,,,,,,,-121.9516405,37.2789841,,,
,55,65448941,,,,,,,-121.9552333,37.2787858,,,
,56,65484821,stop,,,,,,-121.94519,37.275114,,,
,57,65484832,,,,,,,-121.9436595,37.2788613,,,
,58,65491742,,,,,,,-121.9388229,37.2762749,,,
,59,65491748,,,,,,,-121.9385769,37.275503,,,
,60,65497115,,,,,,,-121.9498195,37.2838793,,,
,61,65497129,,,,,,,-121.9472694,37.2838974,,,
,62,65497130,,,,,,,-121.9456454,37.2839004,,,
,63,65499499,,,,,,,-121.949809,37.2829114,,,
,64,65499500,,,,,,,-121.9478424,37.2829101,,,
,65,65499501,,,,,,,-121.9457212,37.2829152,,,
,66,65499935,turning_circle,,,,,,-121.9400179,37.270646,,,
,67,,,,,,,,-121.9403505,37.286,,,boundary node created by osm2gmns
,68,65455049,,,,,,,-121.9413048,37.2847986,,,
,69,,,,,,,,-121.9565,37.2804084,,,boundary node created by osm2gmns
,70,65504524,stop,,,,,,-121.9542538,37.2806882,,,
,71,65524861,,,,,,,-121.9422828,37.2725228,,,
,72,,,,,,,,-121.9422603,37.2702,,,boundary node created by osm2gmns
,73,,,,,,,,-121.9414766,37.286,,,boundary node created by osm2gmns
,74,65455047,,,,,,,-121.9421348,37.2851374,,,
,75,286639931,,,,,,,-121.9434427,37.283419,,,
,76,65531934,,,,,,,-121.9395587,37.2753013,,,
,77,65447557,,,,,,,-121.9395407,37.2738948,,,
,78,65531936,turning_circle,,,,,,-121.9395027,37.2733979,,,
,79,65533663,,,,,,,-121.9498236,37.2842822,,,
,80,65533667,,,,,,,-121.9507886,37.2842662,,,
,81,65418562,,,,,,,-121.9389583,37.2801649,,,
,82,65539461,,,,,,,-121.951829,37.2761493,,,
,83,65539462,turning_circle,,,,,,-121.9518324,37.2758113,,,
,84,65545831,stop,,,,,,-121.9451556,37.2725244,,,
,85,65504527,,,,,,,-121.9516668,37.2806715,,,
,86,65672251,,,,,,,-121.9516585,37.279869,,,
,87,65679180,,,,,,,-121.9519879,37.2774869,,,
,88,65561545,,,,,,,-121.9498073,37.2826569,,,
,89,65561548,,,,,,,-121.9542622,37.2826431,,,
,90,65567740,,,,,,,-121.9492086,37.2746339,,,
,91,5117871029,,,,,,,-121.9479282,37.2755114,,,
,92,65567752,,,,,,,-121.9479357,37.2775667,,,
,93,286638151,turning_circle,,,,,,-121.9470893,37.2774232,,,
,94,65567751,,,,,,,-121.9480819,37.2770972,,,
,95,286638178,turning_circle,,,,,,-121.9472518,37.2769435,,,
,96,65567748,,,,,,,-121.9480671,37.2765497,,,
,97,286638179,turning_circle,,,,,,-121.9473554,37.2765012,,,
,98,65567745,,,,,,,-121.9479357,37.2761037,,,
,99,286638180,turning_circle,,,,,,-121.9475092,37.2760194,,,
,100,65567755,,,,,,,-121.9476581,37.2779978,,,
,101,286638046,turning_circle,,,,,,-121.9469808,37.2778399,,,
,102,65567759,,,,,,,-121.9473201,37.2784268,,,
,103,286638000,turning_circle,,,,,,-121.9468025,37.2783468,,,
,104,65569166,,,,,,,-121.9558301,37.2762236,,,
,105,,,,,,,,-121.9565,37.2762934,,,boundary node created by osm2gmns
,106,,,,,,,,-121.9448798,37.286,,,boundary node created by osm2gmns
,107,65578445,,,,,,,-121.9448772,37.2857173,,,
,108,,,,,,,,-121.9484814,37.286,,,boundary node created by osm2gmns
,109,65594157,traffic_signals,,signal,,,,-121.9501256,37.2770843,,,
,110,9515520336,traffic_signals,,signal,,,,-121.9498999,37.2769357,,,
,111,65594160,,,,,,,-121.9498378,37.2768944,,,
,112,65610375,,,,,,,-121.9433825,37.2725171,,,
,113,,,,,,,,-121.9433732,37.2702,,,boundary node created by osm2gmns
,114,315026362,turning_circle,,,,,,-121.9434385,37.2789894,,,
,115,315026375,,,,,,,-121.9407028,37.2784039,,,
,116,,,,,,,,-121.949342,37.286,,,boundary node created by osm2gmns
,117,65617829,,,,,,,-121.9404373,37.2779503,,,
,118,5216427196,,,,,,,-121.939646,37.2783683,,,
,119,65638768,stop,,,,,,-121.947848,37.2819497,,,
,120,6806162131,,,,,,,-121.9510702,37.2759884,,,
,121,65468479,,,,,,,-121.953335,37.2758078,,,
,122,286639625,turning_circle,,,,,,-121.9543281,37.2761578,,,
,123,65622492,traffic_signals,,signal,,,,-121.9497973,37.2819553,,,
,124,65570253,,,,,,,-121.9459087,37.2820028,,,
,125,65659305,,,,,,,-121.9554353,37.2748576,,,
,126,65659314,,,,,,,-121.9560935,37.2722234,,,
,127,,,,,,,,-121.9520574,37.286,,,boundary node created by osm2gmns
,128,65462979,,,,,,,-121.952059,37.2848848,,,
,129,65664801,,,,,,,-121.954288,37.2835687,,,
,130,4176821826,,,,,,,-121.945468,37.2725279,,,
,131,65666673,,,,,,,-121.9458256,37.2725204,,,
,132,3695966189,,,,,,,-121.953808,37.2798436,,,
,133,65673780,turning_circle,,,,,,-121.9396275,37.2765866,,,
,134,65673787,,,,,,,-121.9395136,37.2761351,,,
,135,65622489,,,,,,,-121.9498166,37.2835856,,,
,136,65675503,,,,,,,-121.9548859,37.2835678,,,
,137,,,,,,,,-121.9383,37.2763874,,,boundary node created by osm2gmns
,138,309509734,,,,,,,-121.9386459,37.2763155,,,
,139,65522194,,,,,,,-121.9426321,37.2746987,,,
,140,65677583,,,,,,,-121.9547249,37.2722355,,,
,141,65679336,turning_circle,,,,,,-121.9400449,37.2715406,,,
,142,65418552,,,,,,,-121.9403472,37.2801565,,,
,143,65418558,,,,,,,-121.939665,37.2801354,,,
,144,65622501,traffic_signals,,signal,,,,-121.9539478,37.2721537,,,
,145,4499793071,traffic_signals,,signal,,,,-121.9540686,37.2722055,,,
,146,257927856,,,,,,,-121.9554782,37.2773915,,,
,147,8935125395,motorway_junction,,,,,,-121.9481443,37.2715077,,,
,148,65417904,,,,,,,-121.9479725,37.2709105,,,
,149,286641444,,,,,,,-121.9483754,37.2718854,,,
,150,286642717,,,,,,,-121.9487416,37.2721688,,,
,151,315029553,motorway_junction,,,,,,-121.9495342,37.2727617,,,
,152,8935145273,,,,,,,-121.9509869,37.273341,,,
,153,5053080787,,,,,,,-121.9480669,37.2714391,,,
,154,11297555962,traffic_signals,,signal,,,,-121.9479649,37.2713483,,,
,155,315033955,,,,,,,-121.947843,37.2712386,,,
,156,286642720,,,,,,,-121.9488271,37.272057,,,
,157,35855281,,,,,,,-121.9484578,37.2717757,,,
