name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,0,312718678,motorway_junction,,,,,,-121.858248,37.3802298,,,
,1,1086309822,,,,,,,-121.8584483,37.3805295,,,
,2,65418139,,,,,,,-121.8610949,37.380104,,,
,3,65418140,turning_circle,,,,,,-121.860391,37.3805914,,,
,4,65424171,turning_circle,,,,,,-121.8551506,37.3911532,,,
,5,65424175,,,,,,,-121.8565486,37.391622,,,
,6,65427523,,,,,,,-121.8686939,37.3910024,,,
,7,65427526,,,,,,,-121.867781,37.3916509,,,
,8,,,,,,,,-121.8677119,37.3917,,,boundary node created by osm2gmns
,9,65432821,turning_circle,,,,,,-121.8663382,37.3913297,,,
,10,,,,,,,,-121.866688,37.3917,,,boundary node created by osm2gmns
,11,65436351,turning_circle,,,,,,-121.8557772,37.3890937,,,
,12,282390548,,,,,,,-121.8561833,37.389626,,,
,13,,,,,,,,-121.8687,37.3910062,,,boundary node created by osm2gmns
,14,65444842,,,,,,,-121.8661112,37.3834947,,,
,15,65444848,,,,,,,-121.8667583,37.3863646,,,
,16,,,,,,,,-121.8687,37.3882924,,,boundary node created by osm2gmns
,17,65465077,turning_circle,,,,,,-121.8670951,37.3909885,,,
,18,311920061,traffic_signals,,signal,,,,-121.8553158,37.3816699,,,
,19,65465238,,,,,,,-121.8563305,37.3806509,,,
,20,65465235,,,,,,,-121.8560449,37.3800453,,,
,21,,,,,,,,-121.8559812,37.38,,,boundary node created by osm2gmns
,22,311923350,turning_circle,,,,,,-121.8679238,37.3906862,,,
,23,65476020,,,,,,,-121.8557506,37.3836867,,,
,24,65482752,,,,,,,-121.8563487,37.3842632,,,
,25,65482754,,,,,,,-121.8570314,37.3847321,,,
,26,65482755,,,,,,,-121.8581901,37.3856869,,,
,27,65482757,,,,,,,-121.8586085,37.3860939,,,
,28,,,,,,,,-121.8561148,37.38,,,boundary node created by osm2gmns
,29,,,,,,,,-121.8528,37.3908651,,,boundary node created by osm2gmns
,30,282390879,traffic_signals,,signal,,,,-121.8529738,37.3911142,,,
,31,65490980,traffic_signals,,signal,,,,-121.8530762,37.3912403,,,
,32,65492495,,,,,,,-121.859869,37.3846802,,,
,33,65492497,,,,,,,-121.8604905,37.3842093,,,
,34,65492498,,,,,,,-121.8607343,37.3840416,,,
,35,,,,,,,,-121.8528,37.3859117,,,boundary node created by osm2gmns
,36,65495077,,,,,,,-121.8536156,37.3867589,,,
,37,65495079,,,,,,,-121.8547046,37.388289,,,
,38,259980912,,,,,,,-121.8620928,37.3809136,,,
,39,65495934,,,,,,,-121.8628787,37.3800884,,,
