,straight,right,left
2017-05-25 19:45:00,0.4065604,0.38271424,0.21072534
2017-05-25 19:50:00,0.46891174,0.34247178,0.18861641
2017-05-25 19:55:00,0.43699032,0.3631346,0.19987503
2017-05-25 20:00:00,0.42251658,0.37250534,0.20497806
2017-05-25 20:05:00,0.44995958,0.35475382,0.19528666
2017-05-25 20:10:00,0.3420636,0.42456368,0.23337272
2017-05-25 20:15:00,0.41137138,0.37978426,0.20884426
2017-05-25 20:20:00,0.30196512,0.4504965,0.24753837
2017-05-25 20:25:00,0.3437672,0.42336968,0.23286311
2017-05-25 20:30:00,0.34253046,0.42001978,0.23744974
2017-05-25 20:35:00,0.32587412,0.4135271,0.26059884
2017-05-25 20:40:00,0.31104374,0.3233848,0.3655715
2017-05-25 20:45:00,0.3302165,0.28602824,0.3837552
2017-05-25 20:50:00,0.30154958,0.30603826,0.3924122
2017-05-25 20:55:00,0.3371178,0.26907066,0.39381155
2017-05-25 21:00:00,0.2965715,0.28523988,0.41818863
2017-05-25 21:05:00,0.26595363,0.29870555,0.43534085
2017-05-25 21:10:00,0.23417443,0.31593692,0.44988868
2017-05-25 21:15:00,0.2023013,0.32588807,0.47181064
2017-05-25 21:20:00,0.23089659,0.31499517,0.45410824
2017-05-25 21:25:00,0.20166536,0.3230167,0.475318
2017-05-25 21:30:00,0.21680275,0.31506142,0.4681358
2017-05-25 21:35:00,0.21136233,0.31742892,0.4712088
2017-05-25 21:40:00,0.20194998,0.32120696,0.476843
2017-05-25 21:45:00,0.1935815,0.32491317,0.48150533
2017-05-25 21:50:00,0.2018864,0.32204,0.47607353
2017-05-25 21:55:00,0.1906209,0.33222488,0.47715423
2017-05-25 22:00:00,0.19325283,0.33267656,0.47407058
2017-05-25 22:05:00,0.19596095,0.3266744,0.47736466
2017-05-25 22:10:00,0.23526967,0.3157235,0.44900683
2017-05-25 22:15:00,0.26416573,0.29922855,0.43660572
2017-05-25 22:20:00,0.26874754,0.29586348,0.43538898
2017-05-25 22:25:00,0.23795797,0.3069037,0.45513833
2017-05-25 22:30:00,0.25353017,0.30127165,0.44519815
2017-05-25 22:35:00,0.21108155,0.31877258,0.47014588
2017-05-25 22:40:00,0.19068998,0.32766888,0.48164108
2017-05-25 22:45:00,0.227725,0.31298378,0.45929128
2017-05-25 22:50:00,0.23458453,0.31213188,0.4532836
2017-05-25 22:55:00,0.25763008,0.29967842,0.44269153
2017-05-25 23:00:00,0.24691738,0.31099427,0.4420883
2017-05-25 23:05:00,0.21620311,0.31959754,0.4641993
2017-05-25 23:10:00,0.20245709,0.32196674,0.47557616
2017-05-25 23:15:00,0.2067953,0.32037595,0.4728287
2017-05-25 23:20:00,0.22543484,0.31417894,0.46038628
2017-05-25 23:25:00,0.1993986,0.33079523,0.46980616
2017-05-25 23:30:00,0.26015526,0.2981867,0.44165808
2017-05-25 23:35:00,0.19146474,0.32626954,0.4822657
2017-05-25 23:40:00,0.18400274,0.3322232,0.48377398
2017-05-25 23:45:00,0.19778942,0.3264667,0.47574392
2017-05-25 23:50:00,0.23250574,0.31146583,0.4560284
2017-05-25 23:55:00,0.18590686,0.3305702,0.48352295
2017-05-26 00:00:00,0.19307923,0.32896948,0.4779513
2017-05-26 00:05:00,0.21332671,0.31766543,0.46900785
2017-05-26 00:10:00,0.20865013,0.3219973,0.46935263
2017-05-26 00:15:00,0.18772337,0.32909253,0.483184
2017-05-26 00:20:00,0.20462869,0.32245293,0.47291842
2017-05-26 00:25:00,0.23953803,0.306836,0.453626
2017-05-26 00:30:00,0.20016734,0.32280728,0.4770254
2017-05-26 00:35:00,0.236845,0.3077453,0.45540968
2017-05-26 00:40:00,0.20720245,0.32094833,0.4718492
2017-05-26 00:45:00,0.19046542,0.32677257,0.482762
2017-05-26 00:50:00,0.19540614,0.3236222,0.4809717
2017-05-26 00:55:00,0.18553302,0.32868478,0.48578218
2017-05-26 01:00:00,0.19969547,0.3282259,0.47207865
2017-05-26 01:05:00,0.22628438,0.30919468,0.46452087
2017-05-26 01:10:00,0.18414944,0.32632688,0.48952374
2017-05-26 01:15:00,0.2561436,0.2975249,0.4463315
2017-05-26 01:20:00,0.19444396,0.3220118,0.48354432
2017-05-26 01:25:00,0.25602508,0.29724276,0.44673216
2017-05-26 01:30:00,0.22263405,0.31066933,0.46669665
2017-05-26 01:35:00,0.18086398,0.32751834,0.49161768
2017-05-26 01:40:00,0.18086605,0.32750347,0.49163046
2017-05-26 01:45:00,0.18088989,0.32746646,0.4916436
2017-05-26 01:50:00,0.18147849,0.32700518,0.49151632
2017-05-26 01:55:00,0.18528105,0.32535654,0.48936245
2017-05-26 02:00:00,0.18205191,0.32696337,0.49098474
2017-05-26 02:05:00,0.18156849,0.32678586,0.49164566
2017-05-26 02:10:00,0.18201709,0.3268424,0.49114054
2017-05-26 02:15:00,0.1977695,0.3203698,0.48186064
2017-05-26 02:20:00,0.1928813,0.32221016,0.48490852
2017-05-26 02:25:00,0.18093476,0.3273077,0.49175757
2017-05-26 02:30:00,0.18121201,0.32691067,0.49187735
2017-05-26 02:35:00,0.18322372,0.3259348,0.49084157
2017-05-26 02:40:00,0.18693426,0.3246395,0.48842615
2017-05-26 02:45:00,0.18115246,0.32724214,0.4916054
2017-05-26 02:50:00,0.18221538,0.32671046,0.49107414
2017-05-26 02:55:00,0.18423098,0.3257964,0.48997265
2017-05-26 03:00:00,0.19417664,0.32188857,0.48393473
2017-05-26 03:05:00,0.19746406,0.32067373,0.4818622
2017-05-26 03:10:00,0.2006989,0.31941685,0.4798843
2017-05-26 03:15:00,0.20331924,0.31823933,0.47844142
2017-05-26 03:20:00,0.2586339,0.29614174,0.44522437
2017-05-26 03:25:00,0.20764223,0.31647974,0.475878
2017-05-26 03:30:00,0.19095562,0.32789975,0.4811446
2017-05-26 03:35:00,0.1825574,0.3266733,0.49076933
2017-05-26 03:40:00,0.18103538,0.3271782,0.4917864
