,straight,left
2017-05-25 19:45:00,0.7284065,0.2715935
2017-05-25 19:50:00,0.72955453,0.2704454
2017-05-25 19:55:00,0.72862345,0.27137658
2017-05-25 20:00:00,0.72164017,0.2783598
2017-05-25 20:05:00,0.72179574,0.27820426
2017-05-25 20:10:00,0.7200564,0.2799436
2017-05-25 20:15:00,0.7055163,0.29448378
2017-05-25 20:20:00,0.68936425,0.31063578
2017-05-25 20:25:00,0.69660276,0.30339727
2017-05-25 20:30:00,0.66491324,0.3350868
2017-05-25 20:35:00,0.66043043,0.3395696
2017-05-25 20:40:00,0.65875226,0.3412477
2017-05-25 20:45:00,0.55694807,0.44305193
2017-05-25 20:50:00,0.6654753,0.3345247
2017-05-25 20:55:00,0.6785951,0.32140496
2017-05-25 21:00:00,0.67743236,0.32256767
2017-05-25 21:05:00,0.66482306,0.33517703
2017-05-25 21:10:00,0.68180364,0.31819636
2017-05-25 21:15:00,0.66560155,0.33439854
2017-05-25 21:20:00,0.667399,0.332601
2017-05-25 21:25:00,0.6790818,0.32091817
2017-05-25 21:30:00,0.67367977,0.32632026
2017-05-25 21:35:00,0.6849549,0.31504512
2017-05-25 21:40:00,0.6808873,0.31911278
2017-05-25 21:45:00,0.6683976,0.33160236
2017-05-25 21:50:00,0.6992698,0.30073026
2017-05-25 21:55:00,0.6848236,0.31517646
2017-05-25 22:00:00,0.648949,0.35105094
2017-05-25 22:05:00,0.6104235,0.38957652
2017-05-25 22:10:00,0.63397527,0.36602473
2017-05-25 22:15:00,0.66958064,0.3304194
2017-05-25 22:20:00,0.6873246,0.31267548
2017-05-25 22:25:00,0.6380378,0.36196217
2017-05-25 22:30:00,0.65980923,0.34019077
2017-05-25 22:35:00,0.6167968,0.38320318
2017-05-25 22:40:00,0.6625431,0.33745685
2017-05-25 22:45:00,0.65848494,0.34151512
2017-05-25 22:50:00,0.65547144,0.3445286
2017-05-25 22:55:00,0.64608735,0.35391262
2017-05-25 23:00:00,0.64108855,0.3589114
2017-05-25 23:05:00,0.618807,0.38119298
2017-05-25 23:10:00,0.6670293,0.3329707
2017-05-25 23:15:00,0.6568674,0.34313262
2017-05-25 23:20:00,0.6562816,0.3437185
2017-05-25 23:25:00,0.6527461,0.3472539
2017-05-25 23:30:00,0.6312807,0.36871925
2017-05-25 23:35:00,0.6247283,0.37527168
2017-05-25 23:40:00,0.60260504,0.397395
2017-05-25 23:45:00,0.5997445,0.40025553
2017-05-25 23:50:00,0.5898588,0.41014126
2017-05-25 23:55:00,0.58474845,0.41525155
2017-05-26 00:00:00,0.62335336,0.37664667
2017-05-26 00:05:00,0.5982641,0.4017359
2017-05-26 00:10:00,0.5880891,0.41191083
2017-05-26 00:15:00,0.60634243,0.39365754
2017-05-26 00:20:00,0.56598836,0.43401164
2017-05-26 00:25:00,0.62344,0.37656
2017-05-26 00:30:00,0.63413596,0.36586404
2017-05-26 00:35:00,0.5767001,0.42329994
2017-05-26 00:40:00,0.63099986,0.3690002
2017-05-26 00:45:00,0.558259,0.44174093
2017-05-26 00:50:00,0.58720475,0.41279525
2017-05-26 00:55:00,0.6175165,0.38248348
2017-05-26 01:00:00,0.62284017,0.3771598
2017-05-26 01:05:00,0.57854205,0.42145795
2017-05-26 01:10:00,0.68434393,0.31565607
2017-05-26 01:15:00,0.6413382,0.3586618
2017-05-26 01:20:00,0.6973993,0.30260062
2017-05-26 01:25:00,0.6984085,0.3015915
2017-05-26 01:30:00,0.51684284,0.48315725
2017-05-26 01:35:00,0.53395784,0.46604216
2017-05-26 01:40:00,0.6869855,0.3130145
2017-05-26 01:45:00,0.58759063,0.41240934
2017-05-26 01:50:00,0.6993918,0.30060822
2017-05-26 01:55:00,0.7022286,0.2977714
2017-05-26 02:00:00,0.6723898,0.3276102
2017-05-26 02:05:00,0.64280427,0.3571957
2017-05-26 02:10:00,0.69880307,0.3011969
2017-05-26 02:15:00,0.6917691,0.30823094
2017-05-26 02:20:00,0.5482224,0.45177752
2017-05-26 02:25:00,0.63507694,0.36492303
2017-05-26 02:30:00,0.7126499,0.28735012
2017-05-26 02:35:00,0.63745457,0.3625454
2017-05-26 02:40:00,0.500895,0.499105
2017-05-26 02:45:00,0.5776724,0.4223276
2017-05-26 02:50:00,0.7030983,0.29690173
2017-05-26 02:55:00,0.61756104,0.38243896
2017-05-26 03:00:00,0.68507254,0.3149274
2017-05-26 03:05:00,0.54417866,0.45582137
2017-05-26 03:10:00,0.5167971,0.4832028
2017-05-26 03:15:00,0.62942165,0.37057835
2017-05-26 03:20:00,0.6943504,0.30564955
2017-05-26 03:25:00,0.6641852,0.3358148
2017-05-26 03:30:00,0.70025116,0.2997488
2017-05-26 03:35:00,0.5062482,0.49375185
2017-05-26 03:40:00,0.5326394,0.46736062
2017-05-26 03:45:00,0.577624,0.42237595
2017-05-26 03:50:00,0.54387736,0.45612258
2017-05-26 03:55:00,0.49924365,0.5007564
2017-05-26 04:00:00,0.5439264,0.4560736
2017-05-26 04:05:00,0.6883593,0.31164068
2017-05-26 04:10:00,0.5568467,0.44315338
2017-05-26 04:15:00,0.55325836,0.44674167
2017-05-26 04:20:00,0.6791432,0.3208568
2017-05-26 04:25:00,0.54264885,0.45735115
2017-05-26 04:30:00,0.5802321,0.41976786
2017-05-26 04:35:00,0.6464022,0.3535978
2017-05-26 04:40:00,0.7190784,0.28092152
2017-05-26 04:45:00,0.702054,0.29794604
2017-05-26 04:50:00,0.50448006,0.49551988
2017-05-26 04:55:00,0.5928255,0.40717453
2017-05-26 05:00:00,0.49749824,0.5025018
2017-05-26 05:05:00,0.52856344,0.4714366
2017-05-26 05:10:00,0.58293456,0.4170655
2017-05-26 05:15:00,0.72805536,0.2719446
2017-05-26 05:20:00,0.500623,0.49937704
2017-05-26 05:25:00,0.677501,0.322499
2017-05-26 05:30:00,0.65204966,0.3479503
2017-05-26 05:35:00,0.7232947,0.27670535
2017-05-26 05:40:00,0.7305864,0.26941356
2017-05-26 05:45:00,0.72982997,0.27017003
2017-05-26 05:50:00,0.7267611,0.27323896
2017-05-26 05:55:00,0.72972006,0.27027997
2017-05-26 06:00:00,0.7234998,0.27650025
2017-05-26 06:05:00,0.63993645,0.36006355
2017-05-26 06:10:00,0.62215406,0.37784594
2017-05-26 06:15:00,0.71853775,0.28146222
2017-05-26 06:20:00,0.65966225,0.34033772
2017-05-26 06:25:00,0.5925376,0.40746245
2017-05-26 06:30:00,0.58955306,0.410447
2017-05-26 06:35:00,0.5661918,0.43380815
2017-05-26 06:40:00,0.66085666,0.33914337
2017-05-26 06:45:00,0.6610169,0.3389831
2017-05-26 06:50:00,0.6570002,0.34299982
2017-05-26 06:55:00,0.65174574,0.34825423
2017-05-26 07:00:00,0.6194422,0.3805578
2017-05-26 07:05:00,0.51483923,0.4851608
2017-05-26 07:10:00,0.51857233,0.48142767
2017-05-26 07:15:00,0.50508654,0.49491346
2017-05-26 07:20:00,0.50066346,0.4993366
2017-05-26 07:25:00,0.50061065,0.49938932
2017-05-26 07:30:00,0.50010383,0.49989614
2017-05-26 07:35:00,0.5000538,0.49994624
2017-05-26 07:40:00,0.4999857,0.5000143
2017-05-26 07:45:00,0.49999815,0.50000185
2017-05-26 07:50:00,0.4999536,0.50004643
2017-05-26 07:55:00,0.49994853,0.5000515
2017-05-26 08:00:00,0.4996623,0.50033766
2017-05-26 08:05:00,0.49982318,0.50017685
2017-05-26 08:10:00,0.4999826,0.50001746
2017-05-26 08:15:00,0.49998677,0.50001323
2017-05-26 08:20:00,0.47047484,0.5295252
2017-05-26 08:25:00,0.49985242,0.50014764
2017-05-26 08:30:00,0.49998873,0.50001127
2017-05-26 08:35:00,0.49993274,0.50006723
2017-05-26 08:40:00,0.49999994,0.5000001
2017-05-26 08:45:00,0.49987757,0.5001224
2017-05-26 08:50:00,0.49999642,0.5000036
2017-05-26 08:55:00,0.29745394,0.70254606
2017-05-26 09:00:00,0.2689988,0.7310012
2017-05-26 09:05:00,0.29439256,0.7056075
2017-05-26 09:10:00,0.44130757,0.5586924
2017-05-26 09:15:00,0.49635297,0.5036471
2017-05-26 09:20:00,0.49601474,0.5039853
2017-05-26 09:25:00,0.49790835,0.5020916
2017-05-26 09:30:00,0.4838542,0.5161458
2017-05-26 09:35:00,0.4982463,0.50175375
2017-05-26 09:40:00,0.497977,0.50202304
2017-05-26 09:45:00,0.49620152,0.5037984
2017-05-26 09:50:00,0.4989248,0.5010752
2017-05-26 09:55:00,0.4946257,0.5053743
2017-05-26 10:00:00,0.48703858,0.5129614
2017-05-26 10:05:00,0.4956901,0.50430983
2017-05-26 10:10:00,0.49540058,0.50459945
2017-05-26 10:15:00,0.49820983,0.50179017
2017-05-26 10:20:00,0.49962735,0.50037265
2017-05-26 10:25:00,0.4949704,0.5050296
2017-05-26 10:30:00,0.49766997,0.50233
2017-05-26 10:35:00,0.49519655,0.5048035
2017-05-26 10:40:00,0.4967876,0.50321245
2017-05-26 10:45:00,0.49766722,0.5023328
2017-05-26 10:50:00,0.4821064,0.5178936
2017-05-26 10:55:00,0.49681553,0.5031845
2017-05-26 11:00:00,0.49575368,0.50424635
2017-05-26 11:05:00,0.49378055,0.50621945
2017-05-26 11:10:00,0.49894,0.50106
2017-05-26 11:15:00,0.49952543,0.5004746
2017-05-26 11:20:00,0.49783987,0.50216013
2017-05-26 11:25:00,0.49634635,0.50365365
2017-05-26 11:30:00,0.4965763,0.50342375
2017-05-26 11:35:00,0.4991373,0.50086266
2017-05-26 11:40:00,0.5023156,0.49768445
2017-05-26 11:45:00,0.5011586,0.49884138
2017-05-26 11:50:00,0.4993644,0.5006357
2017-05-26 11:55:00,0.5046735,0.4953265
2017-05-26 12:00:00,0.50905526,0.4909447
2017-05-26 12:05:00,0.5036238,0.49637622
2017-05-26 12:10:00,0.5018283,0.49817175
2017-05-26 12:15:00,0.5064306,0.49356937
2017-05-26 12:20:00,0.5011219,0.4988781
2017-05-26 12:25:00,0.50427806,0.49572194
