,straight,right
2017-05-25 19:45:00,0.53403217,0.4659679
2017-05-25 19:50:00,0.65284485,0.34715512
2017-05-25 19:55:00,0.54810524,0.4518948
2017-05-25 20:00:00,0.557002,0.44299802
2017-05-25 20:05:00,0.49780264,0.5021974
2017-05-25 20:10:00,0.47207615,0.5279238
2017-05-25 20:15:00,0.44980627,0.5501937
2017-05-25 20:20:00,0.47175223,0.5282478
2017-05-25 20:25:00,0.4669768,0.53302324
2017-05-25 20:30:00,0.40463752,0.59536254
2017-05-25 20:35:00,0.42928407,0.5707159
2017-05-25 20:40:00,0.3747135,0.6252865
2017-05-25 20:45:00,0.39759,0.60241
2017-05-25 20:50:00,0.4420714,0.5579287
2017-05-25 20:55:00,0.4498065,0.5501935
2017-05-25 21:00:00,0.4733635,0.5266365
2017-05-25 21:05:00,0.474899,0.52510107
2017-05-25 21:10:00,0.54224235,0.45775765
2017-05-25 21:15:00,0.5535223,0.44647765
2017-05-25 21:20:00,0.5290581,0.4709419
2017-05-25 21:25:00,0.47421402,0.52578604
2017-05-25 21:30:00,0.46979183,0.5302082
2017-05-25 21:35:00,0.4635905,0.53640944
2017-05-25 21:40:00,0.46838367,0.5316163
2017-05-25 21:45:00,0.49914768,0.5008523
2017-05-25 21:50:00,0.55026406,0.44973597
2017-05-25 21:55:00,0.5035442,0.49645582
2017-05-25 22:00:00,0.51366067,0.48633933
2017-05-25 22:05:00,0.64330655,0.35669342
2017-05-25 22:10:00,0.6620187,0.33798128
2017-05-25 22:15:00,0.6505071,0.34949294
2017-05-25 22:20:00,0.6543801,0.34561995
2017-05-25 22:25:00,0.60275644,0.39724362
2017-05-25 22:30:00,0.6507436,0.3492564
2017-05-25 22:35:00,0.62386507,0.376135
2017-05-25 22:40:00,0.6632918,0.3367082
2017-05-25 22:45:00,0.6616492,0.33835077
2017-05-25 22:50:00,0.66893816,0.33106184
2017-05-25 22:55:00,0.6719435,0.32805648
2017-05-25 23:00:00,0.63481814,0.36518186
2017-05-25 23:05:00,0.6134771,0.3865229
2017-05-25 23:10:00,0.64881516,0.3511848
2017-05-25 23:15:00,0.5991909,0.40080908
2017-05-25 23:20:00,0.60743666,0.39256334
2017-05-25 23:25:00,0.6404948,0.35950515
2017-05-25 23:30:00,0.61450654,0.38549346
2017-05-25 23:35:00,0.5872189,0.4127811
2017-05-25 23:40:00,0.6154286,0.38457137
2017-05-25 23:45:00,0.602601,0.39739904
2017-05-25 23:50:00,0.60809577,0.3919043
2017-05-25 23:55:00,0.5960474,0.40395266
2017-05-26 00:00:00,0.5397277,0.4602723
