,right,left
2012-06-04 05:10:00,0.5013058,0.49869424
2012-06-04 05:15:00,0.50246197,0.49753797
2012-06-04 05:20:00,0.4854674,0.51453257
2012-06-04 05:25:00,0.4608398,0.53916013
2012-06-04 05:30:00,0.47065693,0.529343
2012-06-04 05:35:00,0.44316915,0.5568309
2012-06-04 05:40:00,0.5067844,0.49321568
2012-06-04 05:45:00,0.42980632,0.5701937
2012-06-04 05:50:00,0.52992886,0.47007114
2012-06-04 05:55:00,0.4831182,0.5168818
2012-06-04 06:00:00,0.47625628,0.52374375
2012-06-04 06:05:00,0.396353,0.603647
2012-06-04 06:10:00,0.47351378,0.5264862
2012-06-04 06:15:00,0.43195957,0.5680405
2012-06-04 06:20:00,0.44279292,0.5572071
2012-06-04 06:25:00,0.4581952,0.5418048
2012-06-04 06:30:00,0.4815106,0.51848936
2012-06-04 06:35:00,0.51420313,0.48579687
2012-06-04 06:40:00,0.52114224,0.47885776
2012-06-04 06:45:00,0.5229012,0.47709885
2012-06-04 06:50:00,0.5180338,0.48196623
2012-06-04 06:55:00,0.52194065,0.47805938
2012-06-04 07:00:00,0.5014772,0.4985228
2012-06-04 07:05:00,0.4943812,0.5056189
2012-06-04 07:10:00,0.4951895,0.5048105
2012-06-04 07:15:00,0.48112583,0.51887417
2012-06-04 07:20:00,0.473374,0.52662593
2012-06-04 07:25:00,0.4968175,0.50318253
2012-06-04 07:30:00,0.39825115,0.6017488
2012-06-04 07:35:00,0.42073923,0.57926077
2012-06-04 07:40:00,0.40476102,0.595239
2012-06-04 07:45:00,0.45431027,0.54568976
2012-06-04 07:50:00,0.466557,0.53344303
2012-06-04 07:55:00,0.4725662,0.52743375
2012-06-04 08:00:00,0.451114,0.548886
2012-06-04 08:05:00,0.49091265,0.50908726
2012-06-04 08:10:00,0.4870292,0.5129708
2012-06-04 08:15:00,0.48804712,0.5119529
2012-06-04 08:20:00,0.48783946,0.51216054
2012-06-04 08:25:00,0.49260244,0.50739753
2012-06-04 08:30:00,0.49493167,0.5050683
2012-06-04 08:35:00,0.49540958,0.50459045
2012-06-04 08:40:00,0.48256096,0.517439
2012-06-04 08:45:00,0.48150614,0.5184939
2012-06-04 08:50:00,0.48958087,0.51041913
2012-06-04 08:55:00,0.48388204,0.516118
2012-06-04 09:00:00,0.4608518,0.5391482
2012-06-04 09:05:00,0.4736784,0.52632165
2012-06-04 09:10:00,0.4646082,0.53539175
2012-06-04 09:15:00,0.48657688,0.5134231
2012-06-04 09:20:00,0.49435943,0.50564057
2012-06-04 09:25:00,0.42714927,0.57285076
2012-06-04 09:30:00,0.48861513,0.51138484
2012-06-04 09:35:00,0.4695224,0.5304776
2012-06-04 09:40:00,0.49081224,0.5091877
2012-06-04 09:45:00,0.49089918,0.5091008
2012-06-04 09:50:00,0.482589,0.51741093
2012-06-04 09:55:00,0.48012868,0.51987135
2012-06-04 10:00:00,0.46385872,0.5361412
2012-06-04 10:05:00,0.41676617,0.58323383
2012-06-04 10:10:00,0.40088993,0.59911007
2012-06-04 10:15:00,0.46123993,0.53876007
2012-06-04 10:20:00,0.4804349,0.5195651
2012-06-04 10:25:00,0.42818683,0.57181317
2012-06-04 10:30:00,0.45726398,0.54273605
2012-06-04 10:35:00,0.4515228,0.54847723
2012-06-04 10:40:00,0.4773313,0.52266866
2012-06-04 10:45:00,0.46802476,0.53197527
2012-06-04 10:50:00,0.40654308,0.5934569
2012-06-04 10:55:00,0.4539138,0.5460862
2012-06-04 11:00:00,0.48428828,0.5157117
2012-06-04 11:05:00,0.45316216,0.54683787
2012-06-04 11:10:00,0.4467093,0.55329067
2012-06-04 11:15:00,0.43140164,0.5685983
2012-06-04 11:20:00,0.47724843,0.52275157
2012-06-04 11:25:00,0.50584954,0.49415052
2012-06-04 11:30:00,0.44699723,0.55300283
2012-06-04 11:35:00,0.45021027,0.5497897
2012-06-04 11:40:00,0.40264466,0.59735537
2012-06-04 11:45:00,0.46518737,0.5348126
2012-06-04 11:50:00,0.46384412,0.53615594
2012-06-04 11:55:00,0.39434868,0.6056513
2012-06-04 12:00:00,0.41466084,0.5853392
2012-06-04 12:05:00,0.396002,0.603998
2012-06-04 12:10:00,0.3533558,0.6466442
2012-06-04 12:15:00,0.44277027,0.55722976
2012-06-04 12:20:00,0.4591763,0.5408237
2012-06-04 12:25:00,0.43072948,0.5692705
2012-06-04 12:30:00,0.47512802,0.524872
2012-06-04 12:35:00,0.48598894,0.5140111
