,straight,right
2012-06-04 05:10:00,0.3288714,0.6711286
2012-06-04 05:15:00,0.36136326,0.63863677
2012-06-04 05:20:00,0.3213475,0.67865247
2012-06-04 05:25:00,0.34691045,0.6530896
2012-06-04 05:30:00,0.37596586,0.62403405
2012-06-04 05:35:00,0.28755614,0.7124439
2012-06-04 05:40:00,0.37751958,0.62248045
2012-06-04 05:45:00,0.38201484,0.61798525
2012-06-04 05:50:00,0.3550984,0.64490163
2012-06-04 05:55:00,0.34040627,0.65959376
2012-06-04 06:00:00,0.32022345,0.67977655
2012-06-04 06:05:00,0.39867735,0.60132265
2012-06-04 06:10:00,0.31664976,0.68335027
2012-06-04 06:15:00,0.32325912,0.6767409
2012-06-04 06:20:00,0.33418852,0.6658115
2012-06-04 06:25:00,0.39572123,0.60427874
2012-06-04 06:30:00,0.38475874,0.6152413
2012-06-04 06:35:00,0.40998605,0.590014
2012-06-04 06:40:00,0.39133182,0.60866815
2012-06-04 06:45:00,0.34719077,0.65280926
2012-06-04 06:50:00,0.40044636,0.59955364
2012-06-04 06:55:00,0.40620354,0.5937964
2012-06-04 07:00:00,0.36594447,0.63405555
2012-06-04 07:05:00,0.4061397,0.59386027
2012-06-04 07:10:00,0.35882562,0.64117444
2012-06-04 07:15:00,0.40922368,0.5907763
2012-06-04 07:20:00,0.41844663,0.5815534
2012-06-04 07:25:00,0.39936972,0.6006303
2012-06-04 07:30:00,0.3407509,0.6592491
2012-06-04 07:35:00,0.3583023,0.6416977
2012-06-04 07:40:00,0.32267544,0.6773246
2012-06-04 07:45:00,0.38776705,0.612233
2012-06-04 07:50:00,0.36107245,0.6389276
2012-06-04 07:55:00,0.35124126,0.64875877
2012-06-04 08:00:00,0.36218554,0.63781446
2012-06-04 08:05:00,0.40407246,0.59592754
2012-06-04 08:10:00,0.37072986,0.62927014
2012-06-04 08:15:00,0.39190322,0.60809684
2012-06-04 08:20:00,0.3483348,0.65166515
2012-06-04 08:25:00,0.39645743,0.60354257
2012-06-04 08:30:00,0.37515554,0.62484443
2012-06-04 08:35:00,0.3820489,0.6179511
2012-06-04 08:40:00,0.34967384,0.6503262
2012-06-04 08:45:00,0.36088789,0.6391121
2012-06-04 08:50:00,0.4166456,0.58335435
2012-06-04 08:55:00,0.38623685,0.61376315
2012-06-04 09:00:00,0.37351054,0.6264895
2012-06-04 09:05:00,0.36798853,0.6320114
2012-06-04 09:10:00,0.3762885,0.6237115
2012-06-04 09:15:00,0.3992038,0.6007962
2012-06-04 09:20:00,0.41725218,0.5827478
2012-06-04 09:25:00,0.3286752,0.67132485
2012-06-04 09:30:00,0.36885738,0.6311427
2012-06-04 09:35:00,0.37273777,0.62726223
2012-06-04 09:40:00,0.383103,0.6168969
2012-06-04 09:45:00,0.35253835,0.64746165
2012-06-04 09:50:00,0.406052,0.593948
2012-06-04 09:55:00,0.36500895,0.63499105
2012-06-04 10:00:00,0.352784,0.647216
2012-06-04 10:05:00,0.30475828,0.69524175
2012-06-04 10:10:00,0.36971447,0.63028556
2012-06-04 10:15:00,0.32147974,0.6785202
2012-06-04 10:20:00,0.32467553,0.67532444
2012-06-04 10:25:00,0.3024719,0.69752806
2012-06-04 10:30:00,0.36019805,0.63980204
2012-06-04 10:35:00,0.2893964,0.71060354
2012-06-04 10:40:00,0.3243506,0.6756494
2012-06-04 10:45:00,0.3282912,0.6717088
2012-06-04 10:50:00,0.30971137,0.6902886
2012-06-04 10:55:00,0.34939927,0.65060073
2012-06-04 11:00:00,0.32587865,0.6741213
2012-06-04 11:05:00,0.33716777,0.66283226
2012-06-04 11:10:00,0.2899814,0.7100186
2012-06-04 11:15:00,0.32506105,0.6749389
2012-06-04 11:20:00,0.33271694,0.6672831
2012-06-04 11:25:00,0.38577557,0.61422443
2012-06-04 11:30:00,0.31311136,0.68688864
2012-06-04 11:35:00,0.30455944,0.69544053
2012-06-04 11:40:00,0.33859617,0.6614039
2012-06-04 11:45:00,0.35989156,0.6401084
2012-06-04 11:50:00,0.34766498,0.652335
2012-06-04 11:55:00,0.3077626,0.6922374
2012-06-04 12:00:00,0.36837247,0.63162756
2012-06-04 12:05:00,0.3634208,0.6365792
2012-06-04 12:10:00,0.31432664,0.6856734
2012-06-04 12:15:00,0.37307584,0.6269242
2012-06-04 12:20:00,0.37382078,0.6261792
2012-06-04 12:25:00,0.49703118,0.50296885
2012-06-04 12:30:00,0.5311219,0.4688781
2012-06-04 12:35:00,0.40649235,0.5935076
2012-06-04 12:40:00,0.4668546,0.5331454
2012-06-04 12:45:00,0.39125773,0.6087423
2012-06-04 12:50:00,0.4671144,0.53288555
2012-06-04 12:55:00,0.43816212,0.56183785
2012-06-04 13:00:00,0.5117056,0.48829436
2012-06-04 13:05:00,0.5153585,0.48464146
2012-06-04 13:10:00,0.44997764,0.55002236
2012-06-04 13:15:00,0.5650862,0.43491384
