,straight,left
2012-06-04 05:10:00,0.3717942,0.6282058
2012-06-04 05:15:00,0.45428228,0.5457177
2012-06-04 05:20:00,0.48059115,0.5194088
2012-06-04 05:25:00,0.4786987,0.5213013
2012-06-04 05:30:00,0.43697894,0.563021
2012-06-04 05:35:00,0.42265877,0.5773412
2012-06-04 05:40:00,0.35850605,0.64149404
2012-06-04 05:45:00,0.39087054,0.6091294
2012-06-04 05:50:00,0.38743433,0.6125657
2012-06-04 05:55:00,0.37345877,0.62654114
2012-06-04 06:00:00,0.3366358,0.66336423
2012-06-04 06:05:00,0.44819504,0.551805
2012-06-04 06:10:00,0.30937317,0.69062686
2012-06-04 06:15:00,0.3573478,0.6426523
2012-06-04 06:20:00,0.39618456,0.6038154
2012-06-04 06:25:00,0.37643653,0.62356347
2012-06-04 06:30:00,0.40918237,0.59081763
2012-06-04 06:35:00,0.36305308,0.6369469
2012-06-04 06:40:00,0.36798844,0.6320116
2012-06-04 06:45:00,0.40126893,0.5987311
2012-06-04 06:50:00,0.45394573,0.54605436
2012-06-04 06:55:00,0.39559874,0.6044013
2012-06-04 07:00:00,0.35586122,0.6441388
2012-06-04 07:05:00,0.41095093,0.5890491
2012-06-04 07:10:00,0.3534434,0.64655656
2012-06-04 07:15:00,0.4162617,0.58373827
2012-06-04 07:20:00,0.4246808,0.5753192
2012-06-04 07:25:00,0.3823301,0.61766994
2012-06-04 07:30:00,0.40030482,0.59969515
2012-06-04 07:35:00,0.45304918,0.5469508
2012-06-04 07:40:00,0.4482851,0.55171484
2012-06-04 07:45:00,0.47593644,0.5240635
2012-06-04 07:50:00,0.4485818,0.5514182
2012-06-04 07:55:00,0.41311246,0.58688754
2012-06-04 08:00:00,0.4503058,0.54969424
2012-06-04 08:05:00,0.46089008,0.53910995
2012-06-04 08:10:00,0.46908855,0.53091145
2012-06-04 08:15:00,0.5151075,0.48489255
2012-06-04 08:20:00,0.48217496,0.517825
2012-06-04 08:25:00,0.49262968,0.50737035
2012-06-04 08:30:00,0.49060097,0.50939906
2012-06-04 08:35:00,0.4945054,0.50549465
2012-06-04 08:40:00,0.49035347,0.50964653
2012-06-04 08:45:00,0.4928928,0.5071072
2012-06-04 08:50:00,0.5475505,0.45244956
2012-06-04 08:55:00,0.4942206,0.5057794
2012-06-04 09:00:00,0.5170431,0.48295683
2012-06-04 09:05:00,0.4660307,0.53396934
2012-06-04 09:10:00,0.5401649,0.45983517
2012-06-04 09:15:00,0.52367926,0.47632074
2012-06-04 09:20:00,0.51297694,0.48702303
